# delta_L(z=0)            delta_SC                  ddelta_SC/ddelta_L
-8.323656028443386035e+00 -9.448617168054929127e-01 8.683550854655644816e-03
-8.310680734447249307e+00 -9.447488546103719464e-01 8.712948172003543226e-03
-8.297724391632733898e+00 -9.446357757572086955e-01 8.742440990478869689e-03
-8.284786972196357624e+00 -9.445224798811430178e-01 8.772029600870329819e-03
-8.271868448375830241e+00 -9.444089666168807851e-01 8.801714294759207038e-03
-8.258968792449964624e+00 -9.442952355986939939e-01 8.831495364521112917e-03
-8.246087976738635916e+00 -9.441812864604208766e-01 8.861373103327655973e-03
-8.233225973602714021e+00 -9.440671188354661236e-01 8.891347805148212824e-03
-8.220382755444001432e+00 -9.439527323568012163e-01 8.921419764751579648e-03
-8.207558294705178170e+00 -9.438381266569643158e-01 8.951589277707790171e-03
-8.194752563869741380e+00 -9.437233013680603744e-01 8.981856640389803553e-03
-8.181965535461934280e+00 -9.436082561217615794e-01 9.012222149975207888e-03
-8.169197182046708861e+00 -9.434929905493073532e-01 9.042686104447970538e-03
-8.156447476229640614e+00 -9.433775042815045753e-01 9.073248802600204083e-03
-8.143716390656887683e+00 -9.432617969487279153e-01 9.103910544033796959e-03
-8.131003898015123355e+00 -9.431458681809196110e-01 9.134671629162312984e-03
-8.118309971031473893e+00 -9.430297176075899124e-01 9.165532359212608116e-03
-8.105634582473468797e+00 -9.429133448578174148e-01 9.196493036226533954e-03
-8.092977705148971523e+00 -9.427967495602489478e-01 9.227553963062814710e-03
-8.080339311906126198e+00 -9.426799313431001304e-01 9.258715443398653558e-03
-8.067719375633297219e+00 -9.425628898341549267e-01 9.289977781731614814e-03
-8.055117869259005303e+00 -9.424456246607666454e-01 9.321341283381174778e-03
-8.042534765751881309e+00 -9.423281354498577178e-01 9.352806254490716661e-03
-8.029970038120588072e+00 -9.422104218279196974e-01 9.384373002028994701e-03
-8.017423659413781323e+00 -9.420924834210141485e-01 9.416041833792116941e-03
-8.004895602720038639e+00 -9.419743198547719798e-01 9.447813058405200165e-03
-7.992385841167803484e+00 -9.418559307543943326e-01 9.479686985324109819e-03
-7.979894347925331033e+00 -9.417373157446526921e-01 9.511663924837213818e-03
-7.967421096200618891e+00 -9.416184744498887760e-01 9.543744188067174519e-03
-7.954966059241366239e+00 -9.414994064940152008e-01 9.575928086972679970e-03
-7.942529210334895673e+00 -9.413801115005154818e-01 9.608215934350195983e-03
-7.930110522808109685e+00 -9.412605890924441443e-01 9.640608043835713001e-03
-7.917709970027429378e+00 -9.411408388924272783e-01 9.673104729906529392e-03
-7.905327525398728739e+00 -9.410208605226624279e-01 9.705706307883005257e-03
-7.892963162367286678e+00 -9.409006536049191460e-01 9.738413093930298886e-03
-7.880616854417724859e+00 -9.407802177605392169e-01 9.771225405060202096e-03
-7.868288575073948188e+00 -9.406595526104365446e-01 9.804143559132770872e-03
-7.855978297899092411e+00 -9.405386577750979304e-01 9.837167874858245703e-03
-7.843685996495458390e+00 -9.404175328745829621e-01 9.870298671798722126e-03
-7.831411644504464142e+00 -9.402961775285243462e-01 9.903536270369883709e-03
-7.819155215606580889e+00 -9.401745913561281309e-01 9.936880991842938007e-03
-7.806916683521275324e+00 -9.400527739761744828e-01 9.970333158346151789e-03
-7.794696022006961655e+00 -9.399307250070169095e-01 1.000389309286685117e-02
-7.782493204860927882e+00 -9.398084440665838146e-01 1.003756111925301064e-02
-7.770308205919293165e+00 -9.396859307723774979e-01 1.007133756221514562e-02
-7.758140999056947429e+00 -9.395631847414755988e-01 1.010522274732804891e-02
-7.745991558187490078e+00 -9.394402055905305415e-01 1.013921700103249772e-02
-7.733859857263175819e+00 -9.393169929357703118e-01 1.017332065063715485e-02
-7.721745870274860479e+00 -9.391935463929983463e-01 1.020753402432029132e-02
-7.709649571251939726e+00 -9.390698655775943093e-01 1.024185745113153495e-02
-7.697570934262296660e+00 -9.389459501045142042e-01 1.027629126099364847e-02
-7.685509933412240535e+00 -9.388217995882902622e-01 1.031083578470438217e-02
-7.673466542846456129e+00 -9.386974136430318305e-01 1.034549135393821040e-02
-7.661440736747941571e+00 -9.385727918824257054e-01 1.038025830124804372e-02
-7.649432489337958607e+00 -9.384479339197359105e-01 1.041513696006713362e-02
-7.637441774875967759e+00 -9.383228393678041401e-01 1.045012766471086277e-02
-7.625468567659582142e+00 -9.381975078390508704e-01 1.048523075037834963e-02
-7.613512842024506178e+00 -9.380719389454744706e-01 1.052044655315443646e-02
-7.601574572344476088e+00 -9.379461322986525351e-01 1.055577541001141359e-02
-7.589653733031211047e+00 -9.378200875097416622e-01 1.059121765881071951e-02
-7.577750298534354556e+00 -9.376938041894780085e-01 1.062677363830489934e-02
-7.565864243341420270e+00 -9.375672819481776221e-01 1.066244368813920596e-02
-7.553995541977728934e+00 -9.374405203957366650e-01 1.069822814885355161e-02
-7.542144169006365750e+00 -9.373135191416318568e-01 1.073412736188420792e-02
-7.530310099028111992e+00 -9.371862777949210299e-01 1.077014166956559785e-02
-7.518493306681402366e+00 -9.370587959642429077e-01 1.080627141513218828e-02
-7.506693766642256627e+00 -9.369310732578182144e-01 1.084251694272011894e-02
-7.494911453624234277e+00 -9.368031092834494533e-01 1.087887859736918171e-02
-7.483146342378375948e+00 -9.366749036485216839e-01 1.091535672502444605e-02
-7.471398407693146559e+00 -9.365464559600024108e-01 1.095195167253820191e-02
-7.459667624394382912e+00 -9.364177658244425828e-01 1.098866378767162678e-02
-7.447953967345241288e+00 -9.362888328479763711e-01 1.102549341909667482e-02
-7.436257411446135279e+00 -9.361596566363221683e-01 1.106244091639788443e-02
-7.424577931634687822e+00 -9.360302367947822555e-01 1.109950663007407481e-02
-7.412915502885673469e+00 -9.359005729282438013e-01 1.113669091154026458e-02
-7.401270100210965985e+00 -9.357706646411790841e-01 1.117399411312939607e-02
-7.389641698659479729e+00 -9.356405115376458248e-01 1.121141658809416373e-02
-7.378030273317119914e+00 -9.355101132212876314e-01 1.124895869060880092e-02
-7.366435799306726651e+00 -9.353794692953342205e-01 1.128662077577094816e-02
-7.354858251788020773e+00 -9.352485793626023058e-01 1.132440319960334105e-02
-7.343297605957546992e+00 -9.351174430254954872e-01 1.136230631905570804e-02
-7.331753837048626821e+00 -9.349860598860051386e-01 1.140033049200656068e-02
-7.320226920331295517e+00 -9.348544295457104081e-01 1.143847607726494221e-02
-7.308716831112255008e+00 -9.347225516057788841e-01 1.147674343457230801e-02
-7.297223544734819711e+00 -9.345904256669670396e-01 1.151513292460427766e-02
-7.285747036578857028e+00 -9.344580513296207869e-01 1.155364490897245640e-02
-7.274287282060742044e+00 -9.343254281936752559e-01 1.159227975022627914e-02
-7.262844256633293583e+00 -9.341925558586563483e-01 1.163103781185472960e-02
-7.251417935785733349e+00 -9.340594339236802934e-01 1.166991945828827620e-02
-7.240008295043622866e+00 -9.339260619874543146e-01 1.170892505490055135e-02
-7.228615309968811076e+00 -9.337924396482772949e-01 1.174805496801021969e-02
-7.217238956159387264e+00 -9.336585665040402215e-01 1.178730956488281169e-02
-7.205879209249621553e+00 -9.335244421522261860e-01 1.182668921373250352e-02
-7.194536044909913386e+00 -9.333900661899117157e-01 1.186619428372391767e-02
-7.183209438846740902e+00 -9.332554382137663307e-01 1.190582514497392705e-02
-7.171899366802605869e+00 -9.331205578200536532e-01 1.194558216855352503e-02
-7.160605804555979503e+00 -9.329854246046317412e-01 1.198546572648954631e-02
-7.149328727921253623e+00 -9.328500381629533100e-01 1.202547619176656292e-02
-7.138068112748684690e+00 -9.327143980900666209e-01 1.206561393832865196e-02
-7.126823934924342296e+00 -9.325785039806158139e-01 1.210587934108121357e-02
-7.115596170370055873e+00 -9.324423554288412408e-01 1.214627277589274898e-02
-7.104384795043364953e+00 -9.323059520285802426e-01 1.218679461959674450e-02
-7.093189784937462328e+00 -9.321692933732674824e-01 1.222744524999341831e-02
-7.082011116081144309e+00 -9.320323790559357224e-01 1.226822504585160442e-02
-7.070848764538760101e+00 -9.318952086692158243e-01 1.230913438691047350e-02
-7.059702706410156736e+00 -9.317577818053377481e-01 1.235017365388138208e-02
-7.048572917830627560e+00 -9.316200980561309963e-01 1.239134322844974781e-02
-7.037459374970860715e+00 -9.314821570130251693e-01 1.243264349327673907e-02
-7.026362054036887628e+00 -9.313439582670500760e-01 1.247407483200121611e-02
-7.015280931270033271e+00 -9.312055014088368443e-01 1.251563762924147623e-02
-7.004215982946856656e+00 -9.310667860286182540e-01 1.255733227059704221e-02
-6.993167185379108197e+00 -9.309278117162291810e-01 1.259915914265052374e-02
-6.982134514913671985e+00 -9.307885780611072635e-01 1.264111863296942494e-02
-6.971117947932518710e+00 -9.306490846522934568e-01 1.268321113010792076e-02
-6.960117460852650595e+00 -9.305093310784326999e-01 1.272543702360872525e-02
-6.949133030126050770e+00 -9.303693169277741370e-01 1.276779670400481764e-02
-6.938164632239634422e+00 -9.302290417881720064e-01 1.281029056282139734e-02
-6.927212243715193729e+00 -9.300885052470861947e-01 1.285291899257752501e-02
-6.916275841109349010e+00 -9.299477068915827926e-01 1.289568238678803942e-02
-6.905355401013498984e+00 -9.298066463083345390e-01 1.293858113996537891e-02
-6.894450900053763931e+00 -9.296653230836215975e-01 1.298161564762130397e-02
-6.883562314890944833e+00 -9.295237368033321124e-01 1.302478630626885403e-02
-6.872689622220461203e+00 -9.293818870529625409e-01 1.306809351342399540e-02
