#z_left p([z_left, z_right])
0.0 0
0.005 0
0.01 0
0.015 0
0.02 0
0.025 0
0.03 0
0.035 0
0.04 0
0.045 0
0.05 0
0.055 0
0.06 0
0.065 0
0.07 0
0.075 0
0.08 0
0.085 0
0.09 0
0.095 0
0.1 0
0.105 0
0.11 0
0.115 0
0.12 0
0.125 0
0.13 0
0.135 0
0.14 0
0.145 0
0.15 0
0.155 0
0.16 0
0.165 3
0.17 12
0.175 30
0.18 78
0.185 263
0.19 640
0.195 1263
0.2 1733
0.205 1828
0.21 2139
0.215 2222
0.22 2237
0.225 2459
0.23 2421
0.235 2807
0.24 2626
0.245 2729
0.25 2887
0.255 2784
0.26 2973
0.265 2955
0.27 2809
0.275 3069
0.28 3320
0.285 3637
0.29 3960
0.295 4229
0.3 4576
0.305 4446
0.31 4321
0.315 4370
0.32 4254
0.325 4686
0.33 5439
0.335 5213
0.34 5170
0.345 4897
0.35 4892
0.355 5094
0.36 5528
0.365 5946
0.37 6170
0.375 6133
0.38 5766
0.385 6104
0.39 6314
0.395 6239
0.4 6304
0.405 6019
0.41 6273
0.415 6253
0.42 6165
0.425 6276
0.43 6077
0.435 5546
0.44 5272
0.445 4715
0.45 4198
0.455 3478
0.46 2829
0.465 2385
0.47 1884
0.475 1464
0.48 1168
0.485 952
0.49 736
0.495 626
0.5 467
0.505 411
0.51 365
0.515 278
0.52 254
0.525 199
0.53 184
0.535 142
0.54 105
0.545 97
0.55 70
0.555 62
0.56 40
0.565 25
0.57 23
0.575 13
0.58 8
0.585 5
0.59 6
0.595 1
0.6 4
0.605 0
0.61 3
0.615 0
0.62 0
0.625 1
0.63 0
0.635 3
0.64 0
0.645 0
0.65 0
0.655 0
0.66 0
0.665 0
0.67 0
0.675 0
0.68 0
0.685 0
0.69 0
0.695 0
