# variances: var_g = 4.85771e-02 ;  cov_gk = 5.81613e-04 ;  var_k_correlated = 8.96469e-06 ;  var_k_uncorrelated = 4.05325e-05
# shift params: lambda_g = 1.46148e+00 ;  lambda_k_correlated = 2.44045e-02 ;  lambda_k_uncorrelated = 5.73463e-02
# ell          C_gg(ell)          C_gk(ell)          C_kk_correlated(ell)          C_kk_uncorrelated(ell)
1996    3.78894e-07    4.53431e-09    7.11653e-11    3.08825e-10
1997    3.78681e-07    4.53176e-09    7.11241e-11    3.08607e-10
1998    3.78469e-07    4.52921e-09    7.10829e-11    3.08389e-10
1999    3.78256e-07    4.52667e-09    7.10418e-11    3.08171e-10
2000    3.78044e-07    4.52413e-09    7.10007e-11    3.07954e-10
2001    3.77832e-07    4.52159e-09    7.09597e-11    3.07737e-10
2002    3.77621e-07    4.51906e-09    7.09187e-11    3.07520e-10
2003    3.77409e-07    4.51653e-09    7.08778e-11    3.07304e-10
2004    3.77198e-07    4.51399e-09    7.08369e-11    3.07087e-10
2005    3.76987e-07    4.51147e-09    7.07960e-11    3.06871e-10
2006    3.76776e-07    4.50894e-09    7.07552e-11    3.06655e-10
2007    3.76566e-07    4.50642e-09    7.07144e-11    3.06440e-10
2008    3.76355e-07    4.50390e-09    7.06736e-11    3.06224e-10
2009    3.76145e-07    4.50138e-09    7.06329e-11    3.06009e-10
2010    3.75935e-07    4.49886e-09    7.05922e-11    3.05794e-10
2011    3.75725e-07    4.49635e-09    7.05516e-11    3.05580e-10
2012    3.75516e-07    4.49384e-09    7.05110e-11    3.05365e-10
2013    3.75306e-07    4.49133e-09    7.04704e-11    3.05151e-10
2014    3.75097e-07    4.48883e-09    7.04299e-11    3.04937e-10
2015    3.74888e-07    4.48632e-09    7.03894e-11    3.04723e-10
2016    3.74679e-07    4.48382e-09    7.03490e-11    3.04510e-10
2017    3.74471e-07    4.48132e-09    7.03086e-11    3.04297e-10
2018    3.74262e-07    4.47883e-09    7.02683e-11    3.04084e-10
2019    3.74054e-07    4.47633e-09    7.02279e-11    3.03871e-10
2020    3.73846e-07    4.47384e-09    7.01877e-11    3.03658e-10
2021    3.73638e-07    4.47135e-09    7.01474e-11    3.03446e-10
2022    3.73431e-07    4.46887e-09    7.01072e-11    3.03234e-10
2023    3.73224e-07    4.46638e-09    7.00670e-11    3.03022e-10
2024    3.73016e-07    4.46390e-09    7.00269e-11    3.02810e-10
2025    3.72809e-07    4.46142e-09    6.99868e-11    3.02599e-10
2026    3.72603e-07    4.45894e-09    6.99468e-11    3.02388e-10
2027    3.72396e-07    4.45647e-09    6.99068e-11    3.02177e-10
2028    3.72190e-07    4.45400e-09    6.98668e-11    3.01966e-10
2029    3.71984e-07    4.45153e-09    6.98269e-11    3.01756e-10
2030    3.71778e-07    4.44906e-09    6.97870e-11    3.01545e-10
2031    3.71572e-07    4.44660e-09    6.97471e-11    3.01335e-10
2032    3.71366e-07    4.44413e-09    6.97073e-11    3.01125e-10
2033    3.71161e-07    4.44167e-09    6.96675e-11    3.00916e-10
2034    3.70956e-07    4.43922e-09    6.96278e-11    3.00707e-10
2035    3.70751e-07    4.43676e-09    6.95881e-11    3.00497e-10
2036    3.70546e-07    4.43431e-09    6.95484e-11    3.00288e-10
2037    3.70341e-07    4.43186e-09    6.95088e-11    3.00080e-10
2038    3.70137e-07    4.42941e-09    6.94692e-11    2.99871e-10
2039    3.69933e-07    4.42696e-09    6.94296e-11    2.99663e-10
2040    3.69729e-07    4.42452e-09    6.93901e-11    2.99455e-10
2041    3.69525e-07    4.42208e-09    6.93507e-11    2.99247e-10
2042    3.69321e-07    4.41964e-09    6.93112e-11    2.99040e-10
2043    3.69118e-07    4.41720e-09    6.92718e-11    2.98833e-10
2044    3.68915e-07    4.41477e-09    6.92325e-11    2.98625e-10
2045    3.68712e-07    4.41233e-09    6.91931e-11    2.98419e-10
2046    3.68509e-07    4.40990e-09    6.91538e-11    2.98212e-10
2047    3.68306e-07    4.40748e-09    6.91146e-11    2.98006e-10
2048    3.68104e-07    4.40505e-09    6.90754e-11    2.97799e-10
2049    3.67902e-07    4.40263e-09    6.90362e-11    2.97593e-10
2050    3.67699e-07    4.40021e-09    6.89971e-11    2.97388e-10
2051    3.67498e-07    4.39779e-09    6.89580e-11    2.97182e-10
2052    3.67296e-07    4.39537e-09    6.89189e-11    2.96977e-10
2053    3.67094e-07    4.39296e-09    6.88799e-11    2.96772e-10
2054    3.66893e-07    4.39055e-09    6.88409e-11    2.96567e-10
2055    3.66692e-07    4.38814e-09    6.88019e-11    2.96362e-10
2056    3.66491e-07    4.38573e-09    6.87630e-11    2.96158e-10
2057    3.66290e-07    4.38333e-09    6.87241e-11    2.95954e-10
2058    3.66090e-07    4.38093e-09    6.86853e-11    2.95750e-10
2059    3.65890e-07    4.37853e-09    6.86465e-11    2.95546e-10
2060    3.65689e-07    4.37613e-09    6.86077e-11    2.95342e-10
2061    3.65489e-07    4.37373e-09    6.85690e-11    2.95139e-10
2062    3.65290e-07    4.37134e-09    6.85303e-11    2.94936e-10
2063    3.65090e-07    4.36895e-09    6.84916e-11    2.94733e-10
2064    3.64891e-07    4.36656e-09    6.84530e-11    2.94530e-10
2065    3.64691e-07    4.36418e-09    6.84144e-11    2.94328e-10
2066    3.64492e-07    4.36179e-09    6.83759e-11    2.94125e-10
2067    3.64294e-07    4.35941e-09    6.83374e-11    2.93923e-10
2068    3.64095e-07    4.35703e-09    6.82989e-11    2.93722e-10
2069    3.63897e-07    4.35465e-09    6.82604e-11    2.93520e-10
2070    3.63698e-07    4.35228e-09    6.82220e-11    2.93319e-10
2071    3.63500e-07    4.34991e-09    6.81837e-11    2.93117e-10
2072    3.63302e-07    4.34753e-09    6.81453e-11    2.92916e-10
2073    3.63105e-07    4.34517e-09    6.81070e-11    2.92716e-10
2074    3.62907e-07    4.34280e-09    6.80688e-11    2.92515e-10
2075    3.62710e-07    4.34044e-09    6.80306e-11    2.92315e-10
2076    3.62513e-07    4.33807e-09    6.79924e-11    2.92115e-10
2077    3.62316e-07    4.33572e-09    6.79542e-11    2.91915e-10
2078    3.62119e-07    4.33336e-09    6.79161e-11    2.91715e-10
2079    3.61922e-07    4.33100e-09    6.78780e-11    2.91516e-10
2080    3.61726e-07    4.32865e-09    6.78400e-11    2.91316e-10
2081    3.61529e-07    4.32630e-09    6.78020e-11    2.91117e-10
2082    3.61333e-07    4.32395e-09    6.77640e-11    2.90919e-10
2083    3.61138e-07    4.32160e-09    6.77260e-11    2.90720e-10
2084    3.60942e-07    4.31926e-09    6.76881e-11    2.90522e-10
2085    3.60746e-07    4.31692e-09    6.76503e-11    2.90323e-10
2086    3.60551e-07    4.31458e-09    6.76124e-11    2.90125e-10
2087    3.60356e-07    4.31224e-09    6.75746e-11    2.89928e-10
2088    3.60161e-07    4.30991e-09    6.75369e-11    2.89730e-10
2089    3.59966e-07    4.30757e-09    6.74991e-11    2.89533e-10
2090    3.59772e-07    4.30524e-09    6.74615e-11    2.89336e-10
2091    3.59577e-07    4.30291e-09    6.74238e-11    2.89139e-10
2092    3.59383e-07    4.30059e-09    6.73862e-11    2.88942e-10
2093    3.59189e-07    4.29826e-09    6.73486e-11    2.88745e-10
2094    3.58995e-07    4.29594e-09    6.73110e-11    2.88549e-10
2095    3.58801e-07    4.29362e-09    6.72735e-11    2.88353e-10
2096    3.58608e-07    4.29130e-09    6.72360e-11    2.88157e-10
2097    3.58414e-07    4.28899e-09    6.71986e-11    2.87961e-10
2098    3.58221e-07    4.28667e-09    6.71612e-11    2.87766e-10
2099    3.58028e-07    4.28436e-09    6.71238e-11    2.87571e-10
2100    3.57835e-07    4.28205e-09    6.70864e-11    2.87376e-10
2101    3.57643e-07    4.27974e-09    6.70491e-11    2.87181e-10
2102    3.57450e-07    4.27744e-09    6.70119e-11    2.86986e-10
2103    3.57258e-07    4.27514e-09    6.69746e-11    2.86792e-10
2104    3.57066e-07    4.27283e-09    6.69374e-11    2.86597e-10
2105    3.56874e-07    4.27054e-09    6.69002e-11    2.86403e-10
2106    3.56682e-07    4.26824e-09    6.68631e-11    2.86209e-10
2107    3.56491e-07    4.26594e-09    6.68260e-11    2.86016e-10
2108    3.56299e-07    4.26365e-09    6.67889e-11    2.85822e-10
2109    3.56108e-07    4.26136e-09    6.67519e-11    2.85629e-10
2110    3.55917e-07    4.25907e-09    6.67149e-11    2.85436e-10
2111    3.55726e-07    4.25679e-09    6.66779e-11    2.85243e-10
2112    3.55536e-07    4.25450e-09    6.66410e-11    2.85051e-10
2113    3.55345e-07    4.25222e-09    6.66041e-11    2.84858e-10
2114    3.55155e-07    4.24994e-09    6.65672e-11    2.84666e-10
2115    3.54965e-07    4.24766e-09    6.65304e-11    2.84474e-10
2116    3.54775e-07    4.24539e-09    6.64936e-11    2.84282e-10
2117    3.54585e-07    4.24311e-09    6.64568e-11    2.84090e-10
2118    3.54395e-07    4.24084e-09    6.64201e-11    2.83899e-10
2119    3.54206e-07    4.23857e-09    6.63834e-11    2.83708e-10
2120    3.54017e-07    4.23631e-09    6.63467e-11    2.83517e-10
2121    3.53827e-07    4.23404e-09    6.63101e-11    2.83326e-10
2122    3.53638e-07    4.23178e-09    6.62735e-11    2.83135e-10
2123    3.53450e-07    4.22952e-09    6.62370e-11    2.82945e-10
2124    3.53261e-07    4.22726e-09    6.62004e-11    2.82755e-10
2125    3.53073e-07    4.22500e-09    6.61639e-11    2.82565e-10
2126    3.52884e-07    4.22275e-09    6.61275e-11    2.82375e-10
2127    3.52696e-07    4.22049e-09    6.60910e-11    2.82185e-10
2128    3.52508e-07    4.21824e-09    6.60547e-11    2.81996e-10
2129    3.52321e-07    4.21599e-09    6.60183e-11    2.81807e-10
2130    3.52133e-07    4.21375e-09    6.59820e-11    2.81618e-10
2131    3.51946e-07    4.21150e-09    6.59457e-11    2.81429e-10
2132    3.51759e-07    4.20926e-09    6.59094e-11    2.81240e-10
2133    3.51571e-07    4.20702e-09    6.58732e-11    2.81052e-10
2134    3.51385e-07    4.20478e-09    6.58370e-11    2.80863e-10
2135    3.51198e-07    4.20254e-09    6.58008e-11    2.80675e-10
2136    3.51011e-07    4.20031e-09    6.57647e-11    2.80487e-10
2137    3.50825e-07    4.19808e-09    6.57286e-11    2.80300e-10
2138    3.50639e-07    4.19585e-09    6.56925e-11    2.80112e-10
2139    3.50453e-07    4.19362e-09    6.56565e-11    2.79925e-10
2140    3.50267e-07    4.19139e-09    6.56205e-11    2.79738e-10
2141    3.50081e-07    4.18917e-09    6.55845e-11    2.79551e-10
2142    3.49896e-07    4.18695e-09    6.55486e-11    2.79364e-10
2143    3.49710e-07    4.18473e-09    6.55127e-11    2.79178e-10
2144    3.49525e-07    4.18251e-09    6.54768e-11    2.78992e-10
2145    3.49340e-07    4.18029e-09    6.54410e-11    2.78805e-10
2146    3.49155e-07    4.17808e-09    6.54052e-11    2.78620e-10
2147    3.48970e-07    4.17586e-09    6.53694e-11    2.78434e-10
2148    3.48786e-07    4.17365e-09    6.53337e-11    2.78248e-10
2149    3.48601e-07    4.17145e-09    6.52979e-11    2.78063e-10
2150    3.48417e-07    4.16924e-09    6.52623e-11    2.77878e-10
2151    3.48233e-07    4.16703e-09    6.52266e-11    2.77693e-10
2152    3.48049e-07    4.16483e-09    6.51910e-11    2.77508e-10
2153    3.47866e-07    4.16263e-09    6.51554e-11    2.77323e-10
2154    3.47682e-07    4.16043e-09    6.51199e-11    2.77139e-10
2155    3.47499e-07    4.15824e-09    6.50844e-11    2.76955e-10
2156    3.47315e-07    4.15604e-09    6.50489e-11    2.76771e-10
2157    3.47132e-07    4.15385e-09    6.50134e-11    2.76587e-10
2158    3.46950e-07    4.15166e-09    6.49780e-11    2.76403e-10
2159    3.46767e-07    4.14947e-09    6.49426e-11    2.76220e-10
2160    3.46584e-07    4.14728e-09    6.49073e-11    2.76037e-10
2161    3.46402e-07    4.14510e-09    6.48720e-11    2.75854e-10
2162    3.46220e-07    4.14292e-09    6.48367e-11    2.75671e-10
2163    3.46038e-07    4.14074e-09    6.48014e-11    2.75488e-10
2164    3.45856e-07    4.13856e-09    6.47662e-11    2.75305e-10
2165    3.45674e-07    4.13638e-09    6.47310e-11    2.75123e-10
2166    3.45492e-07    4.13421e-09    6.46958e-11    2.74941e-10
2167    3.45311e-07    4.13203e-09    6.46607e-11    2.74759e-10
2168    3.45130e-07    4.12986e-09    6.46256e-11    2.74577e-10
2169    3.44949e-07    4.12769e-09    6.45905e-11    2.74396e-10
2170    3.44768e-07    4.12553e-09    6.45555e-11    2.74214e-10
2171    3.44587e-07    4.12336e-09    6.45204e-11    2.74033e-10
2172    3.44406e-07    4.12120e-09    6.44855e-11    2.73852e-10
2173    3.44226e-07    4.11904e-09    6.44505e-11    2.73671e-10
2174    3.44045e-07    4.11688e-09    6.44156e-11    2.73491e-10
2175    3.43865e-07    4.11472e-09    6.43807e-11    2.73310e-10
2176    3.43685e-07    4.11256e-09    6.43459e-11    2.73130e-10
2177    3.43506e-07    4.11041e-09    6.43110e-11    2.72950e-10
2178    3.43326e-07    4.10826e-09    6.42763e-11    2.72770e-10
2179    3.43146e-07    4.10611e-09    6.42415e-11    2.72590e-10
2180    3.42967e-07    4.10396e-09    6.42068e-11    2.72411e-10
2181    3.42788e-07    4.10181e-09    6.41721e-11    2.72231e-10
2182    3.42609e-07    4.09967e-09    6.41374e-11    2.72052e-10
2183    3.42430e-07    4.09753e-09    6.41028e-11    2.71873e-10
2184    3.42251e-07    4.09539e-09    6.40682e-11    2.71694e-10
2185    3.42073e-07    4.09325e-09    6.40336e-11    2.71516e-10
2186    3.41894e-07    4.09111e-09    6.39990e-11    2.71337e-10
2187    3.41716e-07    4.08898e-09    6.39645e-11    2.71159e-10
2188    3.41538e-07    4.08684e-09    6.39300e-11    2.70981e-10
2189    3.41360e-07    4.08471e-09    6.38956e-11    2.70803e-10
2190    3.41182e-07    4.08258e-09    6.38612e-11    2.70625e-10
2191    3.41005e-07    4.08046e-09    6.38268e-11    2.70448e-10
2192    3.40827e-07    4.07833e-09    6.37924e-11    2.70270e-10
2193    3.40650e-07    4.07621e-09    6.37581e-11    2.70093e-10
2194    3.40473e-07    4.07409e-09    6.37238e-11    2.69916e-10
2195    3.40296e-07    4.07197e-09    6.36895e-11    2.69739e-10
2196    3.40119e-07    4.06985e-09    6.36553e-11    2.69563e-10
2197    3.39942e-07    4.06773e-09    6.36210e-11    2.69386e-10
2198    3.39766e-07    4.06562e-09    6.35869e-11    2.69210e-10
2199    3.39590e-07    4.06351e-09    6.35527e-11    2.69034e-10
2200    3.39413e-07    4.06140e-09    6.35186e-11    2.68858e-10
2201    3.39237e-07    4.05929e-09    6.34845e-11    2.68682e-10
2202    3.39061e-07    4.05718e-09    6.34504e-11    2.68507e-10
2203    3.38886e-07    4.05508e-09    6.34164e-11    2.68331e-10
2204    3.38710e-07    4.05297e-09    6.33824e-11    2.68156e-10
2205    3.38535e-07    4.05087e-09    6.33484e-11    2.67981e-10
2206    3.38359e-07    4.04877e-09    6.33145e-11    2.67806e-10
2207    3.38184e-07    4.04667e-09    6.32806e-11    2.67631e-10
2208    3.38009e-07    4.04458e-09    6.32467e-11    2.67457e-10
2209    3.37834e-07    4.04248e-09    6.32129e-11    2.67282e-10
2210    3.37660e-07    4.04039e-09    6.31790e-11    2.67108e-10
2211    3.37485e-07    4.03830e-09    6.31452e-11    2.66934e-10
2212    3.37311e-07    4.03621e-09    6.31115e-11    2.66760e-10
2213    3.37137e-07    4.03413e-09    6.30777e-11    2.66587e-10
2214    3.36963e-07    4.03204e-09    6.30440e-11    2.66413e-10
2215    3.36789e-07    4.02996e-09    6.30104e-11    2.66240e-10
2216    3.36615e-07    4.02788e-09    6.29767e-11    2.66067e-10
2217    3.36441e-07    4.02580e-09    6.29431e-11    2.65894e-10
2218    3.36268e-07    4.02372e-09    6.29095e-11    2.65721e-10
2219    3.36095e-07    4.02165e-09    6.28760e-11    2.65549e-10
2220    3.35921e-07    4.01957e-09    6.28424e-11    2.65376e-10
2221    3.35748e-07    4.01750e-09    6.28089e-11    2.65204e-10
2222    3.35575e-07    4.01543e-09    6.27755e-11    2.65032e-10
2223    3.35403e-07    4.01336e-09    6.27420e-11    2.64860e-10
2224    3.35230e-07    4.01129e-09    6.27086e-11    2.64688e-10
2225    3.35058e-07    4.00923e-09    6.26752e-11    2.64517e-10
2226    3.34886e-07    4.00717e-09    6.26419e-11    2.64345e-10
2227    3.34713e-07    4.00510e-09    6.26086e-11    2.64174e-10
2228    3.34541e-07    4.00305e-09    6.25753e-11    2.64003e-10
2229    3.34370e-07    4.00099e-09    6.25420e-11    2.63832e-10
2230    3.34198e-07    3.99893e-09    6.25088e-11    2.63662e-10
2231    3.34026e-07    3.99688e-09    6.24755e-11    2.63491e-10
2232    3.33855e-07    3.99482e-09    6.24424e-11    2.63321e-10
2233    3.33684e-07    3.99277e-09    6.24092e-11    2.63150e-10
2234    3.33513e-07    3.99073e-09    6.23761e-11    2.62980e-10
2235    3.33342e-07    3.98868e-09    6.23430e-11    2.62811e-10
2236    3.33171e-07    3.98663e-09    6.23099e-11    2.62641e-10
2237    3.33000e-07    3.98459e-09    6.22769e-11    2.62471e-10
2238    3.32830e-07    3.98255e-09    6.22439e-11    2.62302e-10
2239    3.32660e-07    3.98051e-09    6.22109e-11    2.62133e-10
2240    3.32489e-07    3.97847e-09    6.21780e-11    2.61964e-10
2241    3.32319e-07    3.97643e-09    6.21450e-11    2.61795e-10
2242    3.32149e-07    3.97440e-09    6.21121e-11    2.61626e-10
2243    3.31980e-07    3.97236e-09    6.20793e-11    2.61458e-10
2244    3.31810e-07    3.97033e-09    6.20464e-11    2.61289e-10
2245    3.31641e-07    3.96830e-09    6.20136e-11    2.61121e-10
2246    3.31471e-07    3.96627e-09    6.19808e-11    2.60953e-10
2247    3.31302e-07    3.96425e-09    6.19481e-11    2.60785e-10
2248    3.31133e-07    3.96222e-09    6.19154e-11    2.60618e-10
2249    3.30964e-07    3.96020e-09    6.18827e-11    2.60450e-10
2250    3.30795e-07    3.95818e-09    6.18500e-11    2.60283e-10
2251    3.30627e-07    3.95616e-09    6.18174e-11    2.60116e-10
2252    3.30458e-07    3.95414e-09    6.17848e-11    2.59949e-10
2253    3.30290e-07    3.95213e-09    6.17522e-11    2.59782e-10
2254    3.30122e-07    3.95011e-09    6.17196e-11    2.59615e-10
2255    3.29954e-07    3.94810e-09    6.16871e-11    2.59449e-10
2256    3.29786e-07    3.94609e-09    6.16546e-11    2.59282e-10
2257    3.29618e-07    3.94408e-09    6.16221e-11    2.59116e-10
2258    3.29451e-07    3.94207e-09    6.15897e-11    2.58950e-10
2259    3.29283e-07    3.94007e-09    6.15572e-11    2.58784e-10
2260    3.29116e-07    3.93807e-09    6.15249e-11    2.58619e-10
2261    3.28949e-07    3.93606e-09    6.14925e-11    2.58453e-10
2262    3.28782e-07    3.93406e-09    6.14602e-11    2.58288e-10
2263    3.28615e-07    3.93206e-09    6.14279e-11    2.58123e-10
2264    3.28448e-07    3.93007e-09    6.13956e-11    2.57958e-10
2265    3.28281e-07    3.92807e-09    6.13633e-11    2.57793e-10
2266    3.28115e-07    3.92608e-09    6.13311e-11    2.57628e-10
2267    3.27949e-07    3.92409e-09    6.12989e-11    2.57463e-10
2268    3.27782e-07    3.92210e-09    6.12667e-11    2.57299e-10
2269    3.27616e-07    3.92011e-09    6.12346e-11    2.57135e-10
2270    3.27450e-07    3.91812e-09    6.12025e-11    2.56971e-10
2271    3.27285e-07    3.91614e-09    6.11704e-11    2.56807e-10
2272    3.27119e-07    3.91415e-09    6.11383e-11    2.56643e-10
2273    3.26954e-07    3.91217e-09    6.11063e-11    2.56480e-10
2274    3.26788e-07    3.91019e-09    6.10743e-11    2.56316e-10
2275    3.26623e-07    3.90821e-09    6.10423e-11    2.56153e-10
2276    3.26458e-07    3.90623e-09    6.10104e-11    2.55990e-10
2277    3.26293e-07    3.90426e-09    6.09785e-11    2.55827e-10
2278    3.26128e-07    3.90229e-09    6.09466e-11    2.55664e-10
2279    3.25964e-07    3.90031e-09    6.09147e-11    2.55501e-10
2280    3.25799e-07    3.89834e-09    6.08828e-11    2.55339e-10
2281    3.25635e-07    3.89638e-09    6.08510e-11    2.55177e-10
2282    3.25471e-07    3.89441e-09    6.08192e-11    2.55014e-10
2283    3.25306e-07    3.89244e-09    6.07875e-11    2.54853e-10
2284    3.25143e-07    3.89048e-09    6.07557e-11    2.54691e-10
2285    3.24979e-07    3.88852e-09    6.07240e-11    2.54529e-10
2286    3.24815e-07    3.88656e-09    6.06924e-11    2.54368e-10
2287    3.24651e-07    3.88460e-09    6.06607e-11    2.54206e-10
2288    3.24488e-07    3.88264e-09    6.06291e-11    2.54045e-10
2289    3.24325e-07    3.88069e-09    6.05975e-11    2.53884e-10
2290    3.24162e-07    3.87873e-09    6.05659e-11    2.53723e-10
2291    3.23999e-07    3.87678e-09    6.05344e-11    2.53562e-10
2292    3.23836e-07    3.87483e-09    6.05028e-11    2.53402e-10
2293    3.23673e-07    3.87288e-09    6.04713e-11    2.53241e-10
2294    3.23511e-07    3.87094e-09    6.04399e-11    2.53081e-10
2295    3.23348e-07    3.86899e-09    6.04084e-11    2.52921e-10
2296    3.23186e-07    3.86705e-09    6.03770e-11    2.52761e-10
2297    3.23024e-07    3.86510e-09    6.03456e-11    2.52601e-10
2298    3.22862e-07    3.86316e-09    6.03143e-11    2.52442e-10
2299    3.22700e-07    3.86122e-09    6.02829e-11    2.52282e-10
2300    3.22538e-07    3.85929e-09    6.02516e-11    2.52123e-10
2301    3.22376e-07    3.85735e-09    6.02203e-11    2.51964e-10
2302    3.22215e-07    3.85542e-09    6.01891e-11    2.51805e-10
2303    3.22053e-07    3.85348e-09    6.01579e-11    2.51646e-10
2304    3.21892e-07    3.85155e-09    6.01266e-11    2.51487e-10
2305    3.21731e-07    3.84962e-09    6.00955e-11    2.51329e-10
2306    3.21570e-07    3.84770e-09    6.00643e-11    2.51170e-10
2307    3.21409e-07    3.84577e-09    6.00332e-11    2.51012e-10
2308    3.21248e-07    3.84385e-09    6.00021e-11    2.50854e-10
2309    3.21088e-07    3.84192e-09    5.99710e-11    2.50696e-10
2310    3.20927e-07    3.84000e-09    5.99400e-11    2.50538e-10
2311    3.20767e-07    3.83808e-09    5.99089e-11    2.50381e-10
2312    3.20607e-07    3.83616e-09    5.98780e-11    2.50223e-10
2313    3.20447e-07    3.83425e-09    5.98470e-11    2.50066e-10
2314    3.20287e-07    3.83233e-09    5.98160e-11    2.49909e-10
2315    3.20127e-07    3.83042e-09    5.97851e-11    2.49752e-10
2316    3.19968e-07    3.82851e-09    5.97542e-11    2.49595e-10
2317    3.19808e-07    3.82660e-09    5.97234e-11    2.49438e-10
2318    3.19649e-07    3.82469e-09    5.96925e-11    2.49281e-10
2319    3.19490e-07    3.82278e-09    5.96617e-11    2.49125e-10
2320    3.19330e-07    3.82088e-09    5.96309e-11    2.48969e-10
2321    3.19171e-07    3.81897e-09    5.96002e-11    2.48813e-10
2322    3.19013e-07    3.81707e-09    5.95694e-11    2.48657e-10
2323    3.18854e-07    3.81517e-09    5.95387e-11    2.48501e-10
2324    3.18695e-07    3.81327e-09    5.95080e-11    2.48345e-10
2325    3.18537e-07    3.81137e-09    5.94774e-11    2.48190e-10
2326    3.18378e-07    3.80948e-09    5.94467e-11    2.48034e-10
2327    3.18220e-07    3.80758e-09    5.94161e-11    2.47879e-10
2328    3.18062e-07    3.80569e-09    5.93855e-11    2.47724e-10
2329    3.17904e-07    3.80380e-09    5.93550e-11    2.47569e-10
2330    3.17746e-07    3.80191e-09    5.93244e-11    2.47414e-10
2331    3.17589e-07    3.80002e-09    5.92939e-11    2.47260e-10
2332    3.17431e-07    3.79813e-09    5.92634e-11    2.47105e-10
2333    3.17274e-07    3.79625e-09    5.92330e-11    2.46951e-10
2334    3.17117e-07    3.79436e-09    5.92025e-11    2.46797e-10
2335    3.16959e-07    3.79248e-09    5.91721e-11    2.46643e-10
2336    3.16802e-07    3.79060e-09    5.91417e-11    2.46489e-10
2337    3.16645e-07    3.78872e-09    5.91114e-11    2.46335e-10
2338    3.16489e-07    3.78684e-09    5.90811e-11    2.46182e-10
2339    3.16332e-07    3.78497e-09    5.90507e-11    2.46028e-10
2340    3.16175e-07    3.78309e-09    5.90205e-11    2.45875e-10
2341    3.16019e-07    3.78122e-09    5.89902e-11    2.45722e-10
2342    3.15863e-07    3.77935e-09    5.89600e-11    2.45569e-10
2343    3.15707e-07    3.77748e-09    5.89298e-11    2.45416e-10
2344    3.15551e-07    3.77561e-09    5.88996e-11    2.45263e-10
2345    3.15395e-07    3.77374e-09    5.88694e-11    2.45111e-10
2346    3.15239e-07    3.77188e-09    5.88393e-11    2.44958e-10
2347    3.15083e-07    3.77002e-09    5.88092e-11    2.44806e-10
2348    3.14928e-07    3.76815e-09    5.87791e-11    2.44654e-10
2349    3.14773e-07    3.76629e-09    5.87490e-11    2.44502e-10
2350    3.14617e-07    3.76443e-09    5.87190e-11    2.44350e-10
2351    3.14462e-07    3.76258e-09    5.86890e-11    2.44199e-10
2352    3.14307e-07    3.76072e-09    5.86590e-11    2.44047e-10
2353    3.14152e-07    3.75887e-09    5.86290e-11    2.43896e-10
2354    3.13998e-07    3.75701e-09    5.85991e-11    2.43744e-10
2355    3.13843e-07    3.75516e-09    5.85692e-11    2.43593e-10
2356    3.13688e-07    3.75331e-09    5.85393e-11    2.43442e-10
2357    3.13534e-07    3.75146e-09    5.85094e-11    2.43291e-10
2358    3.13380e-07    3.74961e-09    5.84796e-11    2.43141e-10
2359    3.13226e-07    3.74777e-09    5.84498e-11    2.42990e-10
2360    3.13072e-07    3.74593e-09    5.84200e-11    2.42840e-10
2361    3.12918e-07    3.74408e-09    5.83902e-11    2.42690e-10
2362    3.12764e-07    3.74224e-09    5.83605e-11    2.42540e-10
2363    3.12611e-07    3.74040e-09    5.83308e-11    2.42390e-10
2364    3.12457e-07    3.73856e-09    5.83011e-11    2.42240e-10
2365    3.12304e-07    3.73673e-09    5.82714e-11    2.42090e-10
2366    3.12150e-07    3.73489e-09    5.82418e-11    2.41941e-10
2367    3.11997e-07    3.73306e-09    5.82121e-11    2.41791e-10
2368    3.11844e-07    3.73123e-09    5.81825e-11    2.41642e-10
2369    3.11691e-07    3.72940e-09    5.81530e-11    2.41493e-10
2370    3.11539e-07    3.72757e-09    5.81234e-11    2.41344e-10
2371    3.11386e-07    3.72574e-09    5.80939e-11    2.41195e-10
2372    3.11234e-07    3.72391e-09    5.80644e-11    2.41046e-10
2373    3.11081e-07    3.72209e-09    5.80349e-11    2.40898e-10
2374    3.10929e-07    3.72026e-09    5.80055e-11    2.40749e-10
2375    3.10777e-07    3.71844e-09    5.79761e-11    2.40601e-10
2376    3.10625e-07    3.71662e-09    5.79466e-11    2.40453e-10
2377    3.10473e-07    3.71480e-09    5.79173e-11    2.40305e-10
2378    3.10321e-07    3.71299e-09    5.78879e-11    2.40157e-10
2379    3.10169e-07    3.71117e-09    5.78586e-11    2.40010e-10
2380    3.10018e-07    3.70935e-09    5.78293e-11    2.39862e-10
2381    3.09866e-07    3.70754e-09    5.78000e-11    2.39715e-10
2382    3.09715e-07    3.70573e-09    5.77707e-11    2.39567e-10
2383    3.09564e-07    3.70392e-09    5.77415e-11    2.39420e-10
2384    3.09413e-07    3.70211e-09    5.77123e-11    2.39273e-10
2385    3.09262e-07    3.70030e-09    5.76831e-11    2.39126e-10
2386    3.09111e-07    3.69850e-09    5.76539e-11    2.38979e-10
2387    3.08961e-07    3.69669e-09    5.76248e-11    2.38833e-10
2388    3.08810e-07    3.69489e-09    5.75957e-11    2.38686e-10
2389    3.08660e-07    3.69309e-09    5.75666e-11    2.38540e-10
