# variances: var_g = 4.85771e-02 ;  cov_gk = 5.81613e-04 ;  var_k_correlated = 8.96469e-06 ;  var_k_uncorrelated = 4.05325e-05
# shift params: lambda_g = 1.46148e+00 ;  lambda_k_correlated = 2.44045e-02 ;  lambda_k_uncorrelated = 5.73463e-02
# ell          C_gg(ell)          C_gk(ell)          C_kk_correlated(ell)          C_kk_uncorrelated(ell)
88    2.15629e-05    2.58360e-07    4.07300e-09    1.72725e-08
89    2.13765e-05    2.56119e-07    4.03355e-09    1.70467e-08
90    2.11959e-05    2.53948e-07    3.99469e-09    1.68256e-08
91    2.10209e-05    2.51841e-07    3.95637e-09    1.66092e-08
92    2.08511e-05    2.49795e-07    3.91856e-09    1.63974e-08
93    2.06861e-05    2.47805e-07    3.88122e-09    1.61900e-08
94    2.05256e-05    2.45868e-07    3.84432e-09    1.59869e-08
95    2.03693e-05    2.43980e-07    3.80782e-09    1.57880e-08
96    2.02168e-05    2.42137e-07    3.77169e-09    1.55933e-08
97    2.00678e-05    2.40334e-07    3.73592e-09    1.54026e-08
98    1.99219e-05    2.38568e-07    3.70047e-09    1.52158e-08
99    1.97789e-05    2.36836e-07    3.66533e-09    1.50330e-08
100    1.96385e-05    2.35132e-07    3.63049e-09    1.48538e-08
101    1.95002e-05    2.33454e-07    3.59592e-09    1.46784e-08
102    1.93639e-05    2.31799e-07    3.56162e-09    1.45066e-08
103    1.92292e-05    2.30162e-07    3.52757e-09    1.43382e-08
104    1.90958e-05    2.28541e-07    3.49376e-09    1.41732e-08
105    1.89635e-05    2.26932e-07    3.46019e-09    1.40115e-08
106    1.88320e-05    2.25333e-07    3.42686e-09    1.38531e-08
107    1.87010e-05    2.23740e-07    3.39376e-09    1.36977e-08
108    1.85703e-05    2.22150e-07    3.36088e-09    1.35455e-08
109    1.84397e-05    2.20562e-07    3.32823e-09    1.33961e-08
110    1.83090e-05    2.18972e-07    3.29581e-09    1.32497e-08
111    1.81779e-05    2.17378e-07    3.26362e-09    1.31061e-08
112    1.80463e-05    2.15779e-07    3.23167e-09    1.29652e-08
113    1.79140e-05    2.14172e-07    3.19994e-09    1.28270e-08
114    1.77809e-05    2.12556e-07    3.16846e-09    1.26914e-08
115    1.76467e-05    2.10929e-07    3.13722e-09    1.25583e-08
116    1.75115e-05    2.09290e-07    3.10623e-09    1.24277e-08
117    1.73750e-05    2.07637e-07    3.07549e-09    1.22995e-08
118    1.72372e-05    2.05970e-07    3.04500e-09    1.21735e-08
119    1.70980e-05    2.04289e-07    3.01478e-09    1.20499e-08
120    1.69574e-05    2.02591e-07    2.98483e-09    1.19284e-08
121    1.68153e-05    2.00878e-07    2.95515e-09    1.18090e-08
122    1.66717e-05    1.99148e-07    2.92575e-09    1.16917e-08
123    1.65266e-05    1.97403e-07    2.89663e-09    1.15765e-08
124    1.63800e-05    1.95641e-07    2.86779e-09    1.14632e-08
125    1.62319e-05    1.93864e-07    2.83925e-09    1.13518e-08
126    1.60824e-05    1.92071e-07    2.81100e-09    1.12423e-08
127    1.59314e-05    1.90264e-07    2.78305e-09    1.11346e-08
128    1.57792e-05    1.88444e-07    2.75540e-09    1.10286e-08
129    1.56257e-05    1.86610e-07    2.72806e-09    1.09244e-08
130    1.54710e-05    1.84765e-07    2.70102e-09    1.08218e-08
131    1.53153e-05    1.82909e-07    2.67429e-09    1.07209e-08
132    1.51586e-05    1.81044e-07    2.64787e-09    1.06215e-08
133    1.50011e-05    1.79172e-07    2.62177e-09    1.05238e-08
134    1.48428e-05    1.77293e-07    2.59598e-09    1.04275e-08
135    1.46841e-05    1.75409e-07    2.57050e-09    1.03326e-08
136    1.45249e-05    1.73522e-07    2.54534e-09    1.02392e-08
137    1.43654e-05    1.71633e-07    2.52049e-09    1.01472e-08
138    1.42058e-05    1.69745e-07    2.49595e-09    1.00566e-08
139    1.40463e-05    1.67859e-07    2.47173e-09    9.96730e-09
140    1.38869e-05    1.65977e-07    2.44782e-09    9.87929e-09
141    1.37279e-05    1.64100e-07    2.42422e-09    9.79255e-09
142    1.35694e-05    1.62231e-07    2.40093e-09    9.70705e-09
143    1.34116e-05    1.60371e-07    2.37794e-09    9.62277e-09
144    1.32546e-05    1.58522e-07    2.35527e-09    9.53967e-09
145    1.30987e-05    1.56686e-07    2.33289e-09    9.45774e-09
146    1.29439e-05    1.54864e-07    2.31081e-09    9.37693e-09
147    1.27904e-05    1.53059e-07    2.28903e-09    9.29724e-09
148    1.26384e-05    1.51271e-07    2.26754e-09    9.21864e-09
149    1.24879e-05    1.49503e-07    2.24634e-09    9.14110e-09
150    1.23393e-05    1.47756e-07    2.22543e-09    9.06460e-09
151    1.21925e-05    1.46031e-07    2.20480e-09    8.98913e-09
152    1.20477e-05    1.44331e-07    2.18444e-09    8.91466e-09
153    1.19050e-05    1.42655e-07    2.16436e-09    8.84118e-09
154    1.17646e-05    1.41005e-07    2.14456e-09    8.76866e-09
155    1.16265e-05    1.39383e-07    2.12501e-09    8.69710e-09
156    1.14909e-05    1.37789e-07    2.10573e-09    8.62647e-09
157    1.13578e-05    1.36225e-07    2.08671e-09    8.55675e-09
158    1.12273e-05    1.34692e-07    2.06794e-09    8.48794e-09
159    1.10996e-05    1.33189e-07    2.04942e-09    8.42001e-09
160    1.09745e-05    1.31718e-07    2.03114e-09    8.35296e-09
161    1.08523e-05    1.30280e-07    2.01310e-09    8.28676e-09
162    1.07330e-05    1.28874e-07    1.99530e-09    8.22140e-09
163    1.06165e-05    1.27502e-07    1.97773e-09    8.15687e-09
164    1.05030e-05    1.26163e-07    1.96039e-09    8.09316e-09
165    1.03925e-05    1.24858e-07    1.94327e-09    8.03024e-09
166    1.02849e-05    1.23586e-07    1.92637e-09    7.96812e-09
167    1.01803e-05    1.22349e-07    1.90969e-09    7.90677e-09
168    1.00786e-05    1.21145e-07    1.89322e-09    7.84618e-09
169    9.97996e-06    1.19975e-07    1.87696e-09    7.78635e-09
170    9.88423e-06    1.18839e-07    1.86090e-09    7.72725e-09
171    9.79142e-06    1.17735e-07    1.84504e-09    7.66888e-09
172    9.70149e-06    1.16665e-07    1.82939e-09    7.61123e-09
173    9.61442e-06    1.15626e-07    1.81393e-09    7.55427e-09
174    9.53015e-06    1.14619e-07    1.79866e-09    7.49801e-09
175    9.44863e-06    1.13643e-07    1.78358e-09    7.44243e-09
176    9.36981e-06    1.12698e-07    1.76869e-09    7.38752e-09
177    9.29361e-06    1.11782e-07    1.75399e-09    7.33327e-09
178    9.21999e-06    1.10895e-07    1.73947e-09    7.27967e-09
179    9.14885e-06    1.10036e-07    1.72513e-09    7.22670e-09
180    9.08013e-06    1.09204e-07    1.71097e-09    7.17436e-09
181    9.01374e-06    1.08399e-07    1.69699e-09    7.12263e-09
182    8.94959e-06    1.07618e-07    1.68318e-09    7.07151e-09
183    8.88761e-06    1.06862e-07    1.66954e-09    7.02098e-09
184    8.82769e-06    1.06130e-07    1.65608e-09    6.97103e-09
185    8.76975e-06    1.05419e-07    1.64279e-09    6.92166e-09
186    8.71369e-06    1.04729e-07    1.62966e-09    6.87286e-09
187    8.65940e-06    1.04060e-07    1.61670e-09    6.82461e-09
188    8.60680e-06    1.03409e-07    1.60391e-09    6.77691e-09
189    8.55578e-06    1.02777e-07    1.59128e-09    6.72974e-09
190    8.50623e-06    1.02160e-07    1.57881e-09    6.68310e-09
191    8.45807e-06    1.01560e-07    1.56651e-09    6.63698e-09
192    8.41118e-06    1.00974e-07    1.55436e-09    6.59136e-09
193    8.36547e-06    1.00401e-07    1.54238e-09    6.54625e-09
194    8.32084e-06    9.98409e-08    1.53055e-09    6.50163e-09
195    8.27719e-06    9.92917e-08    1.51888e-09    6.45750e-09
196    8.23441e-06    9.87528e-08    1.50736e-09    6.41384e-09
197    8.19243e-06    9.82230e-08    1.49600e-09    6.37065e-09
198    8.15114e-06    9.77013e-08    1.48479e-09    6.32793e-09
199    8.11045e-06    9.71868e-08    1.47373e-09    6.28565e-09
200    8.07027e-06    9.66785e-08    1.46282e-09    6.24382e-09
201    8.03052e-06    9.61755e-08    1.45206e-09    6.20243e-09
202    7.99112e-06    9.56769e-08    1.44145e-09    6.16147e-09
203    7.95198e-06    9.51820e-08    1.43098e-09    6.12094e-09
204    7.91304e-06    9.46899e-08    1.42066e-09    6.08082e-09
205    7.87421e-06    9.41998e-08    1.41048e-09    6.04112e-09
206    7.83544e-06    9.37111e-08    1.40044e-09    6.00182e-09
207    7.79665e-06    9.32231e-08    1.39054e-09    5.96293e-09
208    7.75780e-06    9.27352e-08    1.38078e-09    5.92442e-09
209    7.71881e-06    9.22468e-08    1.37115e-09    5.88631e-09
210    7.67965e-06    9.17574e-08    1.36166e-09    5.84858e-09
211    7.64027e-06    9.12664e-08    1.35230e-09    5.81123e-09
212    7.60062e-06    9.07736e-08    1.34307e-09    5.77425e-09
213    7.56067e-06    9.02784e-08    1.33396e-09    5.73764e-09
214    7.52038e-06    8.97807e-08    1.32498e-09    5.70140e-09
215    7.47973e-06    8.92800e-08    1.31612e-09    5.66552e-09
216    7.43869e-06    8.87761e-08    1.30739e-09    5.62999e-09
217    7.39724e-06    8.82689e-08    1.29877e-09    5.59481e-09
218    7.35537e-06    8.77583e-08    1.29026e-09    5.55999e-09
219    7.31307e-06    8.72440e-08    1.28187e-09    5.52550e-09
220    7.27033e-06    8.67261e-08    1.27359e-09    5.49136e-09
221    7.22715e-06    8.62045e-08    1.26541e-09    5.45756e-09
222    7.18352e-06    8.56793e-08    1.25734e-09    5.42409e-09
223    7.13947e-06    8.51505e-08    1.24938e-09    5.39095e-09
224    7.09498e-06    8.46182e-08    1.24151e-09    5.35813e-09
225    7.05008e-06    8.40825e-08    1.23374e-09    5.32565e-09
226    7.00479e-06    8.35436e-08    1.22606e-09    5.29348e-09
227    6.95911e-06    8.30017e-08    1.21847e-09    5.26164e-09
228    6.91307e-06    8.24570e-08    1.21097e-09    5.23011e-09
229    6.86671e-06    8.19097e-08    1.20355e-09    5.19889e-09
230    6.82003e-06    8.13602e-08    1.19622e-09    5.16798e-09
231    6.77308e-06    8.08086e-08    1.18897e-09    5.13739e-09
232    6.72588e-06    8.02554e-08    1.18180e-09    5.10710e-09
233    6.67847e-06    7.97008e-08    1.17470e-09    5.07711e-09
234    6.63088e-06    7.91452e-08    1.16767e-09    5.04743e-09
235    6.58315e-06    7.85890e-08    1.16071e-09    5.01804e-09
236    6.53531e-06    7.80324e-08    1.15382e-09    4.98895e-09
237    6.48740e-06    7.74759e-08    1.14699e-09    4.96015e-09
238    6.43947e-06    7.69199e-08    1.14023e-09    4.93164e-09
239    6.39155e-06    7.63647e-08    1.13353e-09    4.90342e-09
240    6.34367e-06    7.58108e-08    1.12689e-09    4.87549e-09
241    6.29589e-06    7.52584e-08    1.12030e-09    4.84784e-09
242    6.24824e-06    7.47081e-08    1.11377e-09    4.82047e-09
243    6.20076e-06    7.41602e-08    1.10729e-09    4.79338e-09
244    6.15348e-06    7.36150e-08    1.10086e-09    4.76657e-09
