#Cosmological Parameters: Om_m = 3.1750000000e-01, Om_l = 6.8250000000e-01, Om_r = 0.0000000000e+00
#a_max = 1.0100000000e+00
#t              eta(t)              w(eta)              z(eta)              a(eta)              H(eta)       H_prime(eta)
5.3590747135e-05    1.2652483396e-01    3.1032510764e+00    7.8598183717e+02    1.2706773559e-03    1.5807173511e+01   -1.2493336555e+02
5.5734646189e-05    1.2819003171e-01    3.1015858786e+00    7.6566873248e+02    1.3043443115e-03    1.5601837191e+01   -1.2170866012e+02
5.7906395409e-05    1.2983387405e-01    3.0999420363e+00    7.4637786193e+02    1.3380112670e-03    1.5404300451e+01   -1.1864623436e+02
6.0105642123e-05    1.3145716211e-01    3.0983187482e+00    7.2803395528e+02    1.3716782226e-03    1.5214081704e+01   -1.1573413912e+02
6.2332046730e-05    1.3306064817e-01    3.0967152622e+00    7.1056895511e+02    1.4053451782e-03    1.5030739988e+01   -1.1296157028e+02
6.4585281906e-05    1.3464503968e-01    3.0951308707e+00    6.9392117304e+02    1.4390121337e-03    1.4853870669e+01   -1.1031873481e+02
6.6865031888e-05    1.3621100297e-01    3.0935649074e+00    6.7803456175e+02    1.4726790893e-03    1.4683101676e+01   -1.0779673520e+02
6.9170991806e-05    1.3775916648e-01    3.0920167439e+00    6.6285808454e+02    1.5063460449e-03    1.4518090212e+01   -1.0538746937e+02
7.1502867069e-05    1.3929012373e-01    3.0904857866e+00    6.4834516768e+02    1.5400130004e-03    1.4358519853e+01   -1.0308354375e+02
7.3860372804e-05    1.4080443597e-01    3.0889714744e+00    6.3445322299e+02    1.5736799560e-03    1.4204098000e+01   -1.0087819746e+02
7.6243233330e-05    1.4230263458e-01    3.0874732758e+00    6.2114323044e+02    1.6073469116e-03    1.4054553619e+01   -9.8765236069e+01
7.8651181676e-05    1.4378522326e-01    3.0859906871e+00    6.0837937213e+02    1.6410138671e-03    1.3909635239e+01   -9.6738973487e+01
8.1083959129e-05    1.4525267999e-01    3.0845232304e+00    5.9612871041e+02    1.6746808227e-03    1.3769109175e+01   -9.4794180863e+01
8.3541314822e-05    1.4670545888e-01    3.0830704515e+00    5.8436090410e+02    1.7083477783e-03    1.3632757940e+01   -9.2926041534e+01
8.6023005339e-05    1.4814399172e-01    3.0816319186e+00    5.7304795756e+02    1.7420147338e-03    1.3500378832e+01   -9.1130111192e+01
8.8528794357e-05    1.4956868958e-01    3.0802072208e+00    5.6216399835e+02    1.7756816894e-03    1.3371782665e+01   -8.9402282587e+01
9.1058452309e-05    1.5097994410e-01    3.0787959663e+00    5.5168507968e+02    1.8093486450e-03    1.3246792632e+01   -8.7738754164e+01
9.3611756065e-05    1.5237812880e-01    3.0773977815e+00    5.4158900452e+02    1.8430156005e-03    1.3125243284e+01   -8.6136002149e+01
9.6188488638e-05    1.5376360023e-01    3.0760123101e+00    5.3185516869e+02    1.8766825561e-03    1.3006979606e+01   -8.4590755626e+01
9.8788438908e-05    1.5513669899e-01    3.0746392114e+00    5.2246442046e+02    1.9103495117e-03    1.2891856189e+01   -8.3099974258e+01
1.0141140136e-04    1.5649775076e-01    3.0732781596e+00    5.1339893482e+02    1.9440164672e-03    1.2779736476e+01   -8.1660828323e+01
1.0405717585e-04    1.5784706715e-01    3.0719288432e+00    5.0464210049e+02    1.9776834228e-03    1.2670492081e+01   -8.0270680783e+01
1.0672556735e-04    1.5918494661e-01    3.0705909637e+00    4.9617841842e+02    2.0113503783e-03    1.2564002173e+01   -7.8927071164e+01
1.0941638576e-04    1.6051167510e-01    3.0692642353e+00    4.8799341019e+02    2.0450173339e-03    1.2460152912e+01   -7.7627701013e+01
1.1212944571e-04    1.6182752689e-01    3.0679483835e+00    4.8007353534e+02    2.0786842895e-03    1.2358836936e+01   -7.6370420787e+01
1.1486456632e-04    1.6313276518e-01    3.0666431452e+00    4.7240611669e+02    2.1123512450e-03    1.2259952899e+01   -7.5153217979e+01
1.1762157108e-04    1.6442764273e-01    3.0653482676e+00    4.6497927255e+02    2.1460182006e-03    1.2163405040e+01   -7.3974206374e+01
1.2040028764e-04    1.6571240240e-01    3.0640635080e+00    4.5778185534e+02    2.1796851562e-03    1.2069102796e+01   -7.2831616292e+01
1.2320054766e-04    1.6698727773e-01    3.0627886326e+00    4.5080339572e+02    2.2133521117e-03    1.1976960444e+01   -7.1723785727e+01
1.2602218664e-04    1.6825249341e-01    3.0615234169e+00    4.4403405180e+02    2.2470190673e-03    1.1886896773e+01   -7.0649152278e+01
1.2886504383e-04    1.6950826574e-01    3.0602676446e+00    4.3746456284e+02    2.2806860229e-03    1.1798834784e+01   -6.9606245801e+01
1.3172896202e-04    1.7075480307e-01    3.0590211073e+00    4.3108620695e+02    2.3143529784e-03    1.1712701412e+01   -6.8593681698e+01
1.3461378744e-04    1.7199230618e-01    3.0577836042e+00    4.2489076248e+02    2.3480199340e-03    1.1628427273e+01   -6.7610154780e+01
1.3751936967e-04    1.7322096871e-01    3.0565549416e+00    4.1887047264e+02    2.3816868896e-03    1.1545946429e+01   -6.6654433660e+01
1.4044556147e-04    1.7444097745e-01    3.0553349329e+00    4.1301801314e+02    2.4153538451e-03    1.1465196167e+01   -6.5725355605e+01
1.4339221869e-04    1.7565251273e-01    3.0541233976e+00    4.0732646244e+02    2.4490208007e-03    1.1386116806e+01   -6.4821821820e+01
1.4635920016e-04    1.7685574868e-01    3.0529201617e+00    4.0178927444e+02    2.4826877563e-03    1.1308651504e+01   -6.3942793110e+01
1.4934636761e-04    1.7805085356e-01    3.0517250568e+00    3.9640025335e+02    2.5163547118e-03    1.1232746092e+01   -6.3087285898e+01
1.5235358554e-04    1.7923799002e-01    3.0505379203e+00    3.9115353061e+02    2.5500216674e-03    1.1158348910e+01   -6.2254368546e+01
1.5538072114e-04    1.8041731535e-01    3.0493585950e+00    3.8604354353e+02    2.5836886230e-03    1.1085410666e+01   -6.1443157979e+01
1.5842764421e-04    1.8158898175e-01    3.0481869286e+00    3.8106501562e+02    2.6173555785e-03    1.1013884289e+01   -6.0652816555e+01
1.6149422707e-04    1.8275313651e-01    3.0470227738e+00    3.7621293846e+02    2.6510225341e-03    1.0943724812e+01   -5.9882549184e+01
1.6458034448e-04    1.8390992229e-01    3.0458659881e+00    3.7148255482e+02    2.6846894896e-03    1.0874889244e+01   -5.9131600658e+01
1.6768587357e-04    1.8505947727e-01    3.0447164331e+00    3.6686934317e+02    2.7183564452e-03    1.0807336466e+01   -5.8399253185e+01
1.7081069374e-04    1.8620193537e-01    3.0435739750e+00    3.6236900323e+02    2.7520234008e-03    1.0741027125e+01   -5.7684824093e+01
1.7395468664e-04    1.8733742645e-01    3.0424384839e+00    3.5797744260e+02    2.7856903563e-03    1.0675923535e+01   -5.6987663717e+01
1.7711773604e-04    1.8846607641e-01    3.0413098339e+00    3.5369076437e+02    2.8193573119e-03    1.0611989593e+01   -5.6307153419e+01
1.8029972783e-04    1.8958800744e-01    3.0401879029e+00    3.4950525556e+02    2.8530242675e-03    1.0549190689e+01   -5.5642703765e+01
1.8350054989e-04    1.9070333813e-01    3.0390725722e+00    3.4541737641e+02    2.8866912230e-03    1.0487493633e+01   -5.4993752818e+01
1.8672009211e-04    1.9181218362e-01    3.0379637267e+00    3.4142375039e+02    2.9203581786e-03    1.0426866575e+01   -5.4359764554e+01
1.8995824625e-04    1.9291465572e-01    3.0368612546e+00    3.3752115489e+02    2.9540251342e-03    1.0367278941e+01   -5.3740227383e+01
1.9321490594e-04    1.9401086310e-01    3.0357650473e+00    3.3370651257e+02    2.9876920897e-03    1.0308701365e+01   -5.3134652779e+01
1.9648996663e-04    1.9510091134e-01    3.0346749990e+00    3.2997688325e+02    3.0213590453e-03    1.0251105631e+01   -5.2542573986e+01
1.9978332550e-04    1.9618490312e-01    3.0335910072e+00    3.2632945635e+02    3.0550260009e-03    1.0194464614e+01   -5.1963544826e+01
2.0309488145e-04    1.9726293828e-01    3.0325129721e+00    3.2276154383e+02    3.0886929564e-03    1.0138752225e+01   -5.1397138572e+01
2.0642453502e-04    1.9833511395e-01    3.0314407964e+00    3.1927057360e+02    3.1223599120e-03    1.0083943364e+01   -5.0842946905e+01
2.0977218839e-04    1.9940152465e-01    3.0303743857e+00    3.1585408330e+02    3.1560268676e-03    1.0030013871e+01   -5.0300578926e+01
2.1313774527e-04    2.0046226237e-01    3.0293136480e+00    3.1250971455e+02    3.1896938231e-03    9.9769404786e+00   -4.9769660241e+01
2.1652111093e-04    2.0151741672e-01    3.0282584936e+00    3.0923520749e+02    3.2233607787e-03    9.9247007748e+00   -4.9249832098e+01
2.1992219213e-04    2.0256707493e-01    3.0272088354e+00    3.0602839570e+02    3.2570277343e-03    9.8732731591e+00   -4.8740750577e+01
2.2334089707e-04    2.0361132200e-01    3.0261645883e+00    3.0288720141e+02    3.2906946898e-03    9.8226368069e+00   -4.8242085834e+01
2.2677713534e-04    2.0465024078e-01    3.0251256696e+00    2.9980963104e+02    3.3243616454e-03    9.7727716334e+00   -4.7753521385e+01
2.3023081795e-04    2.0568391199e-01    3.0240919984e+00    2.9679377094e+02    3.3580286010e-03    9.7236582606e+00   -4.7274753441e+01
2.3370185722e-04    2.0671241436e-01    3.0230634960e+00    2.9383778344e+02    3.3916955565e-03    9.6752779854e+00   -4.6805490270e+01
2.3719016680e-04    2.0773582467e-01    3.0220400857e+00    2.9093990314e+02    3.4253625121e-03    9.6276127495e+00   -4.6345451616e+01
2.4069566159e-04    2.0875421781e-01    3.0210216925e+00    2.8809843335e+02    3.4590294676e-03    9.5806451116e+00   -4.5894368128e+01
2.4421825776e-04    2.0976766684e-01    3.0200082435e+00    2.8531174280e+02    3.4926964232e-03    9.5343582199e+00   -4.5451980844e+01
2.4775787269e-04    2.1077624309e-01    3.0189996673e+00    2.8257826253e+02    3.5263633788e-03    9.4887357872e+00   -4.5018040689e+01
2.5131442494e-04    2.1178001617e-01    3.0179958942e+00    2.7989648292e+02    3.5600303343e-03    9.4437620669e+00   -4.4592308013e+01
2.5488783422e-04    2.1277905406e-01    3.0169968563e+00    2.7726495092e+02    3.5936972899e-03    9.3994218296e+00   -4.4174552144e+01
2.5847802139e-04    2.1377342315e-01    3.0160024872e+00    2.7468226743e+02    3.6273642455e-03    9.3557003421e+00   -4.3764550975e+01
2.6208490841e-04    2.1476318828e-01    3.0150127221e+00    2.7214708482e+02    3.6610312010e-03    9.3125833461e+00   -4.3362090568e+01
2.6570841830e-04    2.1574841282e-01    3.0140274975e+00    2.6965810456e+02    3.6946981566e-03    9.2700570395e+00   -4.2966964783e+01
2.6934847517e-04    2.1672915870e-01    3.0130467517e+00    2.6721407505e+02    3.7283651122e-03    9.2281080572e+00   -4.2578974927e+01
2.7300500412e-04    2.1770548644e-01    3.0120704239e+00    2.6481378946e+02    3.7620320677e-03    9.1867234536e+00   -4.2197929418e+01
2.7667793129e-04    2.1867745521e-01    3.0110984551e+00    2.6245608381e+02    3.7956990233e-03    9.1458906861e+00   -4.1823643472e+01
2.8036718378e-04    2.1964512289e-01    3.0101307875e+00    2.6013983503e+02    3.8293659789e-03    9.1055975988e+00   -4.1455938803e+01
2.8407268968e-04    2.2060854608e-01    3.0091673643e+00    2.5786395922e+02    3.8630329344e-03    9.0658324073e+00   -4.1094643341e+01
2.8779437800e-04    2.2156778013e-01    3.0082081302e+00    2.5562740992e+02    3.8966998900e-03    9.0265836845e+00   -4.0739590961e+01
2.9153217868e-04    2.2252287924e-01    3.0072530311e+00    2.5342917654e+02    3.9303668456e-03    8.9878403464e+00   -4.0390621232e+01
2.9528602257e-04    2.2347389640e-01    3.0063020140e+00    2.5126828281e+02    3.9640338011e-03    8.9495916396e+00   -4.0047579171e+01
2.9905584138e-04    2.2442088352e-01    3.0053550268e+00    2.4914378536e+02    3.9977007567e-03    8.9118271279e+00   -3.9710315018e+01
3.0284156771e-04    2.2536389140e-01    3.0044120189e+00    2.4705477232e+02    4.0313677123e-03    8.8745366811e+00   -3.9378684014e+01
3.0664313499e-04    2.2630296979e-01    3.0034729406e+00    2.4500036204e+02    4.0650346678e-03    8.8377104629e+00   -3.9052546196e+01
3.1046047749e-04    2.2723816740e-01    3.0025377430e+00    2.4297970184e+02    4.0987016234e-03    8.8013389208e+00   -3.8731766201e+01
3.1429353028e-04    2.2816953194e-01    3.0016063784e+00    2.4099196681e+02    4.1323685790e-03    8.7654127750e+00   -3.8416213076e+01
3.1814222924e-04    2.2909711017e-01    3.0006788002e+00    2.3903635872e+02    4.1660355345e-03    8.7299230087e+00   -3.8105760101e+01
3.2200651101e-04    2.3002094790e-01    2.9997549624e+00    2.3711210493e+02    4.1997024901e-03    8.6948608588e+00   -3.7800284620e+01
3.2588631300e-04    2.3094109001e-01    2.9988348203e+00    2.3521845739e+02    4.2333694456e-03    8.6602178063e+00   -3.7499667879e+01
3.2978157339e-04    2.3185758050e-01    2.9979183298e+00    2.3335469163e+02    4.2670364012e-03    8.6259855681e+00   -3.7203794870e+01
3.3369223106e-04    2.3277046251e-01    2.9970054478e+00    2.3152010591e+02    4.3007033568e-03    8.5921560885e+00   -3.6912554189e+01
3.3761822562e-04    2.3367977832e-01    2.9960961320e+00    2.2971402025e+02    4.3343703123e-03    8.5587215313e+00   -3.6625837892e+01
3.4155949740e-04    2.3458556941e-01    2.9951903409e+00    2.2793577565e+02    4.3680372679e-03    8.5256742719e+00   -3.6343541363e+01
3.4551598741e-04    2.3548787645e-01    2.9942880339e+00    2.2618473328e+02    4.4017042235e-03    8.4930068904e+00   -3.6065563185e+01
3.4948763733e-04    2.3638673933e-01    2.9933891710e+00    2.2446027370e+02    4.4353711790e-03    8.4607121643e+00   -3.5791805024e+01
3.5347438951e-04    2.3728219719e-01    2.9924937132e+00    2.2276179614e+02    4.4690381346e-03    8.4287830619e+00   -3.5522171506e+01
3.5747618697e-04    2.3817428845e-01    2.9916016219e+00    2.2108871778e+02    4.5027050902e-03    8.3972127359e+00   -3.5256570110e+01
3.6149297335e-04    2.3906305079e-01    2.9907128596e+00    2.1944047312e+02    4.5363720457e-03    8.3659945171e+00   -3.4994911063e+01
3.6552469292e-04    2.3994852120e-01    2.9898273892e+00    2.1781651332e+02    4.5700390013e-03    8.3351219087e+00   -3.4737107235e+01
3.6957129057e-04    2.4083073599e-01    2.9889451744e+00    2.1621630560e+02    4.6037059569e-03    8.3045885805e+00   -3.4483074048e+01
3.7363271181e-04    2.4170973080e-01    2.9880661795e+00    2.1463933263e+02    4.6373729124e-03    8.2743883634e+00   -3.4232729378e+01
3.7770890272e-04    2.4258554065e-01    2.9871903697e+00    2.1308509203e+02    4.6710398680e-03    8.2445152441e+00   -3.3985993468e+01
3.8179980998e-04    2.4345819991e-01    2.9863177104e+00    2.1155309576e+02    4.7047068236e-03    8.2149633603e+00   -3.3742788846e+01
3.8590538084e-04    2.4432774232e-01    2.9854481680e+00    2.1004286969e+02    4.7383737791e-03    8.1857269958e+00   -3.3503040239e+01
3.9002556312e-04    2.4519420106e-01    2.9845817093e+00    2.0855395304e+02    4.7720407347e-03    8.1568005756e+00   -3.3266674502e+01
3.9416030517e-04    2.4605760870e-01    2.9837183017e+00    2.0708589795e+02    4.8057076903e-03    8.1281786619e+00   -3.3033620537e+01
3.9830955591e-04    2.4691799724e-01    2.9828579131e+00    2.0563826903e+02    4.8393746458e-03    8.0998559494e+00   -3.2803809225e+01
4.0247326478e-04    2.4777539814e-01    2.9820005122e+00    2.0421064292e+02    4.8730416014e-03    8.0718272612e+00   -3.2577173357e+01
4.0665138175e-04    2.4862984230e-01    2.9811460680e+00    2.0280260788e+02    4.9067085570e-03    8.0440875451e+00   -3.2353647569e+01
4.1084385730e-04    2.4948136011e-01    2.9802945502e+00    2.0141376338e+02    4.9403755125e-03    8.0166318695e+00   -3.2133168279e+01
4.1505064243e-04    2.5032998143e-01    2.9794459289e+00    2.0004371975e+02    4.9740424681e-03    7.9894554200e+00   -3.1915673625e+01
4.1927168862e-04    2.5117573561e-01    2.9786001747e+00    1.9869209780e+02    5.0077094236e-03    7.9625534954e+00   -3.1701103411e+01
4.2350694785e-04    2.5201865152e-01    2.9777572588e+00    1.9735852846e+02    5.0413763792e-03    7.9359215049e+00   -3.1489399047e+01
4.2775637259e-04    2.5285875754e-01    2.9769171528e+00    1.9604265245e+02    5.0750433348e-03    7.9095549642e+00   -3.1280503498e+01
4.3201991577e-04    2.5369608160e-01    2.9760798288e+00    1.9474411998e+02    5.1087102903e-03    7.8834494928e+00   -3.1074361234e+01
4.3629753079e-04    2.5453065114e-01    2.9752452592e+00    1.9346259039e+02    5.1423772459e-03    7.8576008105e+00   -3.0870918176e+01
