#Cosmological Parameters: Om_m = 3.1750000000e-01, Om_l = 6.8250000000e-01, Om_r = 0.0000000000e+00
#a_max = 1.0100000000e+00
#t              eta(t)              w(eta)              z(eta)              a(eta)              H(eta)       H_prime(eta)
1.0544826940e-01    1.5850441475e+00    1.6447317628e+00    4.0023582320e+00    1.9990571519e-01    1.2710322596e+00   -7.6685010301e-01
1.0547475834e-01    1.5851766436e+00    1.6445992668e+00    4.0015159058e+00    1.9993938215e-01    1.2709306645e+00   -7.6670719621e-01
1.0550124940e-01    1.5853091279e+00    1.6444667825e+00    4.0006738633e+00    1.9997304910e-01    1.2708290973e+00   -7.6656433289e-01
1.0552774258e-01    1.5854416005e+00    1.6443343099e+00    3.9998321042e+00    2.0000671606e-01    1.2707275580e+00   -7.6642151303e-01
1.0555423787e-01    1.5855740613e+00    1.6442018490e+00    3.9989906285e+00    2.0004038301e-01    1.2706260466e+00   -7.6627873660e-01
1.0558073528e-01    1.5857065105e+00    1.6440693999e+00    3.9981494360e+00    2.0007404997e-01    1.2705245630e+00   -7.6613600358e-01
1.0560723481e-01    1.5858389479e+00    1.6439369624e+00    3.9973085265e+00    2.0010771692e-01    1.2704231074e+00   -7.6599331394e-01
1.0563373645e-01    1.5859713737e+00    1.6438045367e+00    3.9964678999e+00    2.0014138388e-01    1.2703216796e+00   -7.6585066767e-01
1.0566024021e-01    1.5861037877e+00    1.6436721226e+00    3.9956275561e+00    2.0017505084e-01    1.2702202797e+00   -7.6570806474e-01
1.0568674609e-01    1.5862361901e+00    1.6435397203e+00    3.9947874949e+00    2.0020871779e-01    1.2701189076e+00   -7.6556550513e-01
1.0571325408e-01    1.5863685807e+00    1.6434073296e+00    3.9939477163e+00    2.0024238475e-01    1.2700175633e+00   -7.6542298882e-01
1.0573976418e-01    1.5865009597e+00    1.6432749507e+00    3.9931082199e+00    2.0027605170e-01    1.2699162468e+00   -7.6528051578e-01
1.0576627640e-01    1.5866333269e+00    1.6431425834e+00    3.9922690057e+00    2.0030971866e-01    1.2698149582e+00   -7.6513808600e-01
1.0579279073e-01    1.5867656825e+00    1.6430102279e+00    3.9914300736e+00    2.0034338561e-01    1.2697136973e+00   -7.6499569944e-01
1.0581930718e-01    1.5868980264e+00    1.6428778840e+00    3.9905914234e+00    2.0037705257e-01    1.2696124642e+00   -7.6485335609e-01
1.0584582575e-01    1.5870303586e+00    1.6427455518e+00    3.9897530550e+00    2.0041071952e-01    1.2695112589e+00   -7.6471105592e-01
1.0587234642e-01    1.5871626791e+00    1.6426132313e+00    3.9889149682e+00    2.0044438648e-01    1.2694100814e+00   -7.6456879891e-01
1.0589886921e-01    1.5872949879e+00    1.6424809224e+00    3.9880771629e+00    2.0047805344e-01    1.2693089316e+00   -7.6442658505e-01
1.0592539412e-01    1.5874272851e+00    1.6423486253e+00    3.9872396389e+00    2.0051172039e-01    1.2692078095e+00   -7.6428441429e-01
1.0595192113e-01    1.5875595706e+00    1.6422163398e+00    3.9864023961e+00    2.0054538735e-01    1.2691067152e+00   -7.6414228664e-01
1.0597845026e-01    1.5876918444e+00    1.6420840660e+00    3.9855654344e+00    2.0057905430e-01    1.2690056486e+00   -7.6400020205e-01
1.0600498150e-01    1.5878241065e+00    1.6419518038e+00    3.9847287537e+00    2.0061272126e-01    1.2689046097e+00   -7.6385816051e-01
1.0603151486e-01    1.5879563570e+00    1.6418195534e+00    3.9838923536e+00    2.0064638821e-01    1.2688035984e+00   -7.6371616200e-01
1.0605805033e-01    1.5880885958e+00    1.6416873145e+00    3.9830562343e+00    2.0068005517e-01    1.2687026149e+00   -7.6357420649e-01
1.0608458790e-01    1.5882208230e+00    1.6415550874e+00    3.9822203954e+00    2.0071372212e-01    1.2686016590e+00   -7.6343229396e-01
1.0611112759e-01    1.5883530385e+00    1.6414228719e+00    3.9813848369e+00    2.0074738908e-01    1.2685007308e+00   -7.6329042439e-01
1.0613766940e-01    1.5884852423e+00    1.6412906681e+00    3.9805495585e+00    2.0078105604e-01    1.2683998303e+00   -7.6314859776e-01
1.0616421331e-01    1.5886174345e+00    1.6411584759e+00    3.9797145603e+00    2.0081472299e-01    1.2682989574e+00   -7.6300681405e-01
1.0619075933e-01    1.5887496150e+00    1.6410262953e+00    3.9788798420e+00    2.0084838995e-01    1.2681981121e+00   -7.6286507322e-01
1.0621730747e-01    1.5888817839e+00    1.6408941264e+00    3.9780454035e+00    2.0088205690e-01    1.2680972944e+00   -7.6272337526e-01
1.0624385771e-01    1.5890139412e+00    1.6407619692e+00    3.9772112446e+00    2.0091572386e-01    1.2679965044e+00   -7.6258172016e-01
1.0627041007e-01    1.5891460868e+00    1.6406298236e+00    3.9763773652e+00    2.0094939081e-01    1.2678957419e+00   -7.6244010787e-01
1.0629696453e-01    1.5892782208e+00    1.6404976896e+00    3.9755437652e+00    2.0098305777e-01    1.2677950070e+00   -7.6229853839e-01
1.0632352111e-01    1.5894103431e+00    1.6403655673e+00    3.9747104445e+00    2.0101672472e-01    1.2676942997e+00   -7.6215701169e-01
1.0635007979e-01    1.5895424538e+00    1.6402334566e+00    3.9738774028e+00    2.0105039168e-01    1.2675936199e+00   -7.6201552775e-01
1.0637664059e-01    1.5896745529e+00    1.6401013575e+00    3.9730446401e+00    2.0108405864e-01    1.2674929677e+00   -7.6187408654e-01
1.0640320349e-01    1.5898066403e+00    1.6399692700e+00    3.9722121561e+00    2.0111772559e-01    1.2673923431e+00   -7.6173268805e-01
1.0642976850e-01    1.5899387161e+00    1.6398371942e+00    3.9713799509e+00    2.0115139255e-01    1.2672917460e+00   -7.6159133225e-01
1.0645633562e-01    1.5900707803e+00    1.6397051300e+00    3.9705480242e+00    2.0118505950e-01    1.2671911763e+00   -7.6145001911e-01
1.0648290485e-01    1.5902028329e+00    1.6395730775e+00    3.9697163758e+00    2.0121872646e-01    1.2670906342e+00   -7.6130874863e-01
1.0650947618e-01    1.5903348739e+00    1.6394410365e+00    3.9688850057e+00    2.0125239341e-01    1.2669901196e+00   -7.6116752077e-01
1.0653604963e-01    1.5904669032e+00    1.6393090072e+00    3.9680539138e+00    2.0128606037e-01    1.2668896325e+00   -7.6102633551e-01
1.0656262518e-01    1.5905989209e+00    1.6391769894e+00    3.9672230997e+00    2.0131972732e-01    1.2667891728e+00   -7.6088519283e-01
1.0658920284e-01    1.5907309271e+00    1.6390449833e+00    3.9663925636e+00    2.0135339428e-01    1.2666887406e+00   -7.6074409271e-01
1.0661578260e-01    1.5908629216e+00    1.6389129888e+00    3.9655623051e+00    2.0138706124e-01    1.2665883359e+00   -7.6060303512e-01
1.0664236448e-01    1.5909949045e+00    1.6387810059e+00    3.9647323241e+00    2.0142072819e-01    1.2664879586e+00   -7.6046202006e-01
1.0666894846e-01    1.5911268758e+00    1.6386490346e+00    3.9639026206e+00    2.0145439515e-01    1.2663876087e+00   -7.6032104748e-01
1.0669553454e-01    1.5912588355e+00    1.6385170748e+00    3.9630731943e+00    2.0148806210e-01    1.2662872863e+00   -7.6018011737e-01
1.0672212273e-01    1.5913907836e+00    1.6383851267e+00    3.9622440452e+00    2.0152172906e-01    1.2661869913e+00   -7.6003922971e-01
1.0674871303e-01    1.5915227202e+00    1.6382531902e+00    3.9614151731e+00    2.0155539601e-01    1.2660867236e+00   -7.5989838448e-01
1.0677530543e-01    1.5916546451e+00    1.6381212653e+00    3.9605865778e+00    2.0158906297e-01    1.2659864834e+00   -7.5975758164e-01
1.0680189994e-01    1.5917865584e+00    1.6379893519e+00    3.9597582593e+00    2.0162272992e-01    1.2658862705e+00   -7.5961682120e-01
1.0682849656e-01    1.5919184602e+00    1.6378574502e+00    3.9589302173e+00    2.0165639688e-01    1.2657860850e+00   -7.5947610311e-01
1.0685509527e-01    1.5920503504e+00    1.6377255600e+00    3.9581024518e+00    2.0169006384e-01    1.2656859268e+00   -7.5933542736e-01
1.0688169610e-01    1.5921822290e+00    1.6375936814e+00    3.9572749625e+00    2.0172373079e-01    1.2655857960e+00   -7.5919479392e-01
1.0690829903e-01    1.5923140960e+00    1.6374618144e+00    3.9564477495e+00    2.0175739775e-01    1.2654856925e+00   -7.5905420278e-01
1.0693490406e-01    1.5924459514e+00    1.6373299589e+00    3.9556208124e+00    2.0179106470e-01    1.2653856163e+00   -7.5891365391e-01
1.0696151119e-01    1.5925777953e+00    1.6371981150e+00    3.9547941513e+00    2.0182473166e-01    1.2652855675e+00   -7.5877314729e-01
1.0698812043e-01    1.5927096276e+00    1.6370662827e+00    3.9539677659e+00    2.0185839861e-01    1.2651855459e+00   -7.5863268290e-01
1.0701473178e-01    1.5928414484e+00    1.6369344620e+00    3.9531416561e+00    2.0189206557e-01    1.2650855517e+00   -7.5849226071e-01
1.0704134522e-01    1.5929732576e+00    1.6368026528e+00    3.9523158218e+00    2.0192573252e-01    1.2649855847e+00   -7.5835188071e-01
1.0706796077e-01    1.5931050552e+00    1.6366708552e+00    3.9514902628e+00    2.0195939948e-01    1.2648856449e+00   -7.5821154287e-01
1.0709457842e-01    1.5932368412e+00    1.6365390691e+00    3.9506649790e+00    2.0199306644e-01    1.2647857325e+00   -7.5807124717e-01
1.0712119818e-01    1.5933686157e+00    1.6364072946e+00    3.9498399703e+00    2.0202673339e-01    1.2646858473e+00   -7.5793099359e-01
1.0714782003e-01    1.5935003787e+00    1.6362755317e+00    3.9490152365e+00    2.0206040035e-01    1.2645859893e+00   -7.5779078211e-01
1.0717444399e-01    1.5936321301e+00    1.6361437803e+00    3.9481907774e+00    2.0209406730e-01    1.2644861585e+00   -7.5765061270e-01
1.0720107005e-01    1.5937638699e+00    1.6360120404e+00    3.9473665931e+00    2.0212773426e-01    1.2643863550e+00   -7.5751048535e-01
1.0722769821e-01    1.5938955982e+00    1.6358803121e+00    3.9465426832e+00    2.0216140121e-01    1.2642865786e+00   -7.5737040002e-01
1.0725432848e-01    1.5940273150e+00    1.6357485953e+00    3.9457190477e+00    2.0219506817e-01    1.2641868295e+00   -7.5723035671e-01
1.0728096084e-01    1.5941590202e+00    1.6356168901e+00    3.9448956865e+00    2.0222873512e-01    1.2640871075e+00   -7.5709035538e-01
1.0730759530e-01    1.5942907139e+00    1.6354851964e+00    3.9440725993e+00    2.0226240208e-01    1.2639874127e+00   -7.5695039603e-01
1.0733423187e-01    1.5944223961e+00    1.6353535143e+00    3.9432497862e+00    2.0229606904e-01    1.2638877450e+00   -7.5681047861e-01
1.0736087053e-01    1.5945540667e+00    1.6352218437e+00    3.9424272468e+00    2.0232973599e-01    1.2637881045e+00   -7.5667060312e-01
1.0738751130e-01    1.5946857258e+00    1.6350901846e+00    3.9416049811e+00    2.0236340295e-01    1.2636884912e+00   -7.5653076953e-01
1.0741415417e-01    1.5948173733e+00    1.6349585370e+00    3.9407829890e+00    2.0239706990e-01    1.2635889049e+00   -7.5639097782e-01
1.0744079913e-01    1.5949490094e+00    1.6348269010e+00    3.9399612703e+00    2.0243073686e-01    1.2634893458e+00   -7.5625122796e-01
1.0746744620e-01    1.5950806339e+00    1.6346952764e+00    3.9391398249e+00    2.0246440381e-01    1.2633898138e+00   -7.5611151994e-01
1.0749409536e-01    1.5952122469e+00    1.6345636634e+00    3.9383186526e+00    2.0249807077e-01    1.2632903089e+00   -7.5597185374e-01
1.0752074662e-01    1.5953438484e+00    1.6344320620e+00    3.9374977534e+00    2.0253173772e-01    1.2631908311e+00   -7.5583222933e-01
1.0754739998e-01    1.5954754384e+00    1.6343004720e+00    3.9366771270e+00    2.0256540468e-01    1.2630913803e+00   -7.5569264669e-01
1.0757405544e-01    1.5956070168e+00    1.6341688935e+00    3.9358567733e+00    2.0259907164e-01    1.2629919566e+00   -7.5555310580e-01
1.0760071300e-01    1.5957385838e+00    1.6340373266e+00    3.9350366923e+00    2.0263273859e-01    1.2628925600e+00   -7.5541360664e-01
1.0762737265e-01    1.5958701392e+00    1.6339057711e+00    3.9342168837e+00    2.0266640555e-01    1.2627931904e+00   -7.5527414918e-01
1.0765403441e-01    1.5960016832e+00    1.6337742272e+00    3.9333973474e+00    2.0270007250e-01    1.2626938478e+00   -7.5513473341e-01
1.0768069826e-01    1.5961332156e+00    1.6336426947e+00    3.9325780833e+00    2.0273373946e-01    1.2625945323e+00   -7.5499535931e-01
1.0770736421e-01    1.5962647366e+00    1.6335111738e+00    3.9317590913e+00    2.0276740641e-01    1.2624952437e+00   -7.5485602684e-01
1.0773403225e-01    1.5963962460e+00    1.6333796643e+00    3.9309403712e+00    2.0280107337e-01    1.2623959822e+00   -7.5471673600e-01
1.0776070239e-01    1.5965277440e+00    1.6332481664e+00    3.9301219229e+00    2.0283474032e-01    1.2622967476e+00   -7.5457748675e-01
1.0778737463e-01    1.5966592305e+00    1.6331166799e+00    3.9293037462e+00    2.0286840728e-01    1.2621975400e+00   -7.5443827908e-01
1.0781404896e-01    1.5967907054e+00    1.6329852049e+00    3.9284858411e+00    2.0290207424e-01    1.2620983594e+00   -7.5429911297e-01
1.0784072539e-01    1.5969221689e+00    1.6328537414e+00    3.9276682073e+00    2.0293574119e-01    1.2619992058e+00   -7.5415998839e-01
1.0786740392e-01    1.5970536210e+00    1.6327222894e+00    3.9268508448e+00    2.0296940815e-01    1.2619000791e+00   -7.5402090532e-01
1.0789408454e-01    1.5971850615e+00    1.6325908488e+00    3.9260337534e+00    2.0300307510e-01    1.2618009793e+00   -7.5388186375e-01
1.0792076726e-01    1.5973164906e+00    1.6324594198e+00    3.9252169330e+00    2.0303674206e-01    1.2617019064e+00   -7.5374286365e-01
1.0794745207e-01    1.5974479082e+00    1.6323280022e+00    3.9244003834e+00    2.0307040901e-01    1.2616028605e+00   -7.5360390499e-01
1.0797413897e-01    1.5975793143e+00    1.6321965961e+00    3.9235841045e+00    2.0310407597e-01    1.2615038415e+00   -7.5346498777e-01
1.0800082797e-01    1.5977107089e+00    1.6320652014e+00    3.9227680962e+00    2.0313774292e-01    1.2614048493e+00   -7.5332611194e-01
1.0802751907e-01    1.5978420921e+00    1.6319338182e+00    3.9219523583e+00    2.0317140988e-01    1.2613058840e+00   -7.5318727751e-01
1.0805421226e-01    1.5979734638e+00    1.6318024465e+00    3.9211368907e+00    2.0320507684e-01    1.2612069457e+00   -7.5304848443e-01
1.0808090754e-01    1.5981048241e+00    1.6316710863e+00    3.9203216933e+00    2.0323874379e-01    1.2611080341e+00   -7.5290973270e-01
1.0810760492e-01    1.5982361729e+00    1.6315397375e+00    3.9195067659e+00    2.0327241075e-01    1.2610091494e+00   -7.5277102229e-01
1.0813430439e-01    1.5983675102e+00    1.6314084001e+00    3.9186921085e+00    2.0330607770e-01    1.2609102916e+00   -7.5263235318e-01
1.0816100595e-01    1.5984988361e+00    1.6312770742e+00    3.9178777208e+00    2.0333974466e-01    1.2608114606e+00   -7.5249372535e-01
1.0818770960e-01    1.5986301506e+00    1.6311457598e+00    3.9170636027e+00    2.0337341161e-01    1.2607126564e+00   -7.5235513877e-01
1.0821441535e-01    1.5987614536e+00    1.6310144568e+00    3.9162497541e+00    2.0340707857e-01    1.2606138790e+00   -7.5221659343e-01
1.0824112319e-01    1.5988927451e+00    1.6308831652e+00    3.9154361749e+00    2.0344074552e-01    1.2605151284e+00   -7.5207808930e-01
1.0826783313e-01    1.5990240252e+00    1.6307518851e+00    3.9146228649e+00    2.0347441248e-01    1.2604164046e+00   -7.5193962637e-01
1.0829454515e-01    1.5991552939e+00    1.6306206165e+00    3.9138098240e+00    2.0350807944e-01    1.2603177076e+00   -7.5180120461e-01
1.0832125927e-01    1.5992865511e+00    1.6304893592e+00    3.9129970521e+00    2.0354174639e-01    1.2602190373e+00   -7.5166282400e-01
1.0834797547e-01    1.5994177969e+00    1.6303581134e+00    3.9121845490e+00    2.0357541335e-01    1.2601203938e+00   -7.5152448452e-01
1.0837469377e-01    1.5995490313e+00    1.6302268791e+00    3.9113723146e+00    2.0360908030e-01    1.2600217771e+00   -7.5138618614e-01
1.0840141416e-01    1.5996802542e+00    1.6300956561e+00    3.9105603488e+00    2.0364274726e-01    1.2599231870e+00   -7.5124792886e-01
1.0842813664e-01    1.5998114657e+00    1.6299644446e+00    3.9097486514e+00    2.0367641421e-01    1.2598246237e+00   -7.5110971264e-01
1.0845486121e-01    1.5999426658e+00    1.6298332446e+00    3.9089372222e+00    2.0371008117e-01    1.2597260871e+00   -7.5097153746e-01
1.0848158788e-01    1.6000738545e+00    1.6297020559e+00    3.9081260613e+00    2.0374374812e-01    1.2596275773e+00   -7.5083340331e-01
1.0850831663e-01    1.6002050317e+00    1.6295708786e+00    3.9073151684e+00    2.0377741508e-01    1.2595290941e+00   -7.5069531016e-01
1.0853504747e-01    1.6003361975e+00    1.6294397128e+00    3.9065045434e+00    2.0381108204e-01    1.2594306375e+00   -7.5055725800e-01
1.0856178040e-01    1.6004673519e+00    1.6293085584e+00    3.9056941861e+00    2.0384474899e-01    1.2593322077e+00   -7.5041924679e-01
1.0858851542e-01    1.6005984949e+00    1.6291774154e+00    3.9048840965e+00    2.0387841595e-01    1.2592338045e+00   -7.5028127653e-01
1.0861525253e-01    1.6007296265e+00    1.6290462838e+00    3.9040742744e+00    2.0391208290e-01    1.2591354280e+00   -7.5014334718e-01
1.0864199172e-01    1.6008607467e+00    1.6289151636e+00    3.9032647196e+00    2.0394574986e-01    1.2590370781e+00   -7.5000545873e-01
1.0866873301e-01    1.6009918555e+00    1.6287840549e+00    3.9024554321e+00    2.0397941681e-01    1.2589387548e+00   -7.4986761115e-01
1.0869547638e-01    1.6011229529e+00    1.6286529575e+00    3.9016464117e+00    2.0401308377e-01    1.2588404582e+00   -7.4972980444e-01
1.0872222185e-01    1.6012540389e+00    1.6285218715e+00    3.9008376583e+00    2.0404675073e-01    1.2587421881e+00   -7.4959203855e-01
1.0874896940e-01    1.6013851134e+00    1.6283907969e+00    3.9000291717e+00    2.0408041768e-01    1.2586439447e+00   -7.4945431348e-01
1.0877571903e-01    1.6015161766e+00    1.6282597337e+00    3.8992209518e+00    2.0411408464e-01    1.2585457278e+00   -7.4931662920e-01
1.0880247076e-01    1.6016472284e+00    1.6281286819e+00    3.8984129984e+00    2.0414775159e-01    1.2584475376e+00   -7.4917898570e-01
1.0882922457e-01    1.6017782689e+00    1.6279976415e+00    3.8976053116e+00    2.0418141855e-01    1.2583493739e+00   -7.4904138294e-01
1.0885598047e-01    1.6019092979e+00    1.6278666125e+00    3.8967978910e+00    2.0421508550e-01    1.2582512367e+00   -7.4890382091e-01
1.0888273845e-01    1.6020403155e+00    1.6277355948e+00    3.8959907366e+00    2.0424875246e-01    1.2581531261e+00   -7.4876629960e-01
1.0890949853e-01    1.6021713218e+00    1.6276045885e+00    3.8951838483e+00    2.0428241941e-01    1.2580550420e+00   -7.4862881897e-01
1.0893626068e-01    1.6023023167e+00    1.6274735937e+00    3.8943772258e+00    2.0431608637e-01    1.2579569845e+00   -7.4849137900e-01
1.0896302493e-01    1.6024333002e+00    1.6273426101e+00    3.8935708692e+00    2.0434975333e-01    1.2578589534e+00   -7.4835397969e-01
1.0898979126e-01    1.6025642724e+00    1.6272116380e+00    3.8927647782e+00    2.0438342028e-01    1.2577609489e+00   -7.4821662099e-01
1.0901655967e-01    1.6026952331e+00    1.6270806772e+00    3.8919589527e+00    2.0441708724e-01    1.2576629709e+00   -7.4807930291e-01
1.0904333017e-01    1.6028261825e+00    1.6269497278e+00    3.8911533927e+00    2.0445075419e-01    1.2575650193e+00   -7.4794202540e-01
1.0907010276e-01    1.6029571206e+00    1.6268187898e+00    3.8903480979e+00    2.0448442115e-01    1.2574670943e+00   -7.4780478846e-01
1.0909687743e-01    1.6030880473e+00    1.6266878631e+00    3.8895430682e+00    2.0451808810e-01    1.2573691956e+00   -7.4766759207e-01
1.0912365418e-01    1.6032189626e+00    1.6265569478e+00    3.8887383035e+00    2.0455175506e-01    1.2572713235e+00   -7.4753043619e-01
1.0915043302e-01    1.6033498665e+00    1.6264260438e+00    3.8879338037e+00    2.0458542201e-01    1.2571734778e+00   -7.4739332081e-01
1.0917721394e-01    1.6034807591e+00    1.6262951512e+00    3.8871295686e+00    2.0461908897e-01    1.2570756585e+00   -7.4725624592e-01
1.0920399695e-01    1.6036116404e+00    1.6261642700e+00    3.8863255981e+00    2.0465275593e-01    1.2569778656e+00   -7.4711921148e-01
1.0923078204e-01    1.6037425103e+00    1.6260334000e+00    3.8855218921e+00    2.0468642288e-01    1.2568800991e+00   -7.4698221748e-01
1.0925756921e-01    1.6038733689e+00    1.6259025415e+00    3.8847184504e+00    2.0472008984e-01    1.2567823591e+00   -7.4684526390e-01
1.0928435847e-01    1.6040042161e+00    1.6257716943e+00    3.8839152730e+00    2.0475375679e-01    1.2566846454e+00   -7.4670835071e-01
1.0931114981e-01    1.6041350519e+00    1.6256408584e+00    3.8831123596e+00    2.0478742375e-01    1.2565869581e+00   -7.4657147790e-01
1.0933794323e-01    1.6042658765e+00    1.6255100339e+00    3.8823097102e+00    2.0482109070e-01    1.2564892972e+00   -7.4643464545e-01
1.0936473873e-01    1.6043966897e+00    1.6253792207e+00    3.8815073247e+00    2.0485475766e-01    1.2563916627e+00   -7.4629785333e-01
1.0939153632e-01    1.6045274915e+00    1.6252484188e+00    3.8807052028e+00    2.0488842461e-01    1.2562940545e+00   -7.4616110152e-01
1.0941833599e-01    1.6046582821e+00    1.6251176283e+00    3.8799033444e+00    2.0492209157e-01    1.2561964726e+00   -7.4602439001e-01
1.0944513774e-01    1.6047890613e+00    1.6249868491e+00    3.8791017495e+00    2.0495575853e-01    1.2560989171e+00   -7.4588771877e-01
1.0947194157e-01    1.6049198292e+00    1.6248560812e+00    3.8783004180e+00    2.0498942548e-01    1.2560013878e+00   -7.4575108779e-01
1.0949874748e-01    1.6050505857e+00    1.6247253246e+00    3.8774993495e+00    2.0502309244e-01    1.2559038849e+00   -7.4561449703e-01
1.0952555547e-01    1.6051813309e+00    1.6245945794e+00    3.8766985442e+00    2.0505675939e-01    1.2558064083e+00   -7.4547794649e-01
1.0955236555e-01    1.6053120649e+00    1.6244638455e+00    3.8758980017e+00    2.0509042635e-01    1.2557089580e+00   -7.4534143614e-01
1.0957917770e-01    1.6054427875e+00    1.6243331229e+00    3.8750977221e+00    2.0512409330e-01    1.2556115339e+00   -7.4520496596e-01
1.0960599194e-01    1.6055734987e+00    1.6242024116e+00    3.8742977050e+00    2.0515776026e-01    1.2555141362e+00   -7.4506853592e-01
1.0963280825e-01    1.6057041987e+00    1.6240717116e+00    3.8734979506e+00    2.0519142721e-01    1.2554167646e+00   -7.4493214602e-01
1.0965962664e-01    1.6058348874e+00    1.6239410230e+00    3.8726984585e+00    2.0522509417e-01    1.2553194194e+00   -7.4479579623e-01
1.0968644712e-01    1.6059655647e+00    1.6238103456e+00    3.8718992286e+00    2.0525876113e-01    1.2552221003e+00   -7.4465948652e-01
1.0971326967e-01    1.6060962308e+00    1.6236796795e+00    3.8711002610e+00    2.0529242808e-01    1.2551248075e+00   -7.4452321688e-01
1.0974009430e-01    1.6062268856e+00    1.6235490248e+00    3.8703015553e+00    2.0532609504e-01    1.2550275409e+00   -7.4438698728e-01
1.0976692101e-01    1.6063575290e+00    1.6234183813e+00    3.8695031115e+00    2.0535976199e-01    1.2549303005e+00   -7.4425079772e-01
1.0979374980e-01    1.6064881612e+00    1.6232877492e+00    3.8687049295e+00    2.0539342895e-01    1.2548330863e+00   -7.4411464816e-01
1.0982058067e-01    1.6066187820e+00    1.6231571283e+00    3.8679070091e+00    2.0542709590e-01    1.2547358983e+00   -7.4397853858e-01
1.0984741361e-01    1.6067493916e+00    1.6230265187e+00    3.8671093502e+00    2.0546076286e-01    1.2546387365e+00   -7.4384246897e-01
1.0987424863e-01    1.6068799899e+00    1.6228959204e+00    3.8663119526e+00    2.0549442981e-01    1.2545416008e+00   -7.4370643931e-01
1.0990108573e-01    1.6070105769e+00    1.6227653334e+00    3.8655148163e+00    2.0552809677e-01    1.2544444913e+00   -7.4357044957e-01
1.0992792491e-01    1.6071411526e+00    1.6226347577e+00    3.8647179411e+00    2.0556176373e-01    1.2543474079e+00   -7.4343449973e-01
1.0995476617e-01    1.6072717171e+00    1.6225041933e+00    3.8639213269e+00    2.0559543068e-01    1.2542503507e+00   -7.4329858978e-01
1.0998160950e-01    1.6074022703e+00    1.6223736401e+00    3.8631249735e+00    2.0562909764e-01    1.2541533196e+00   -7.4316271969e-01
1.1000845491e-01    1.6075328121e+00    1.6222430982e+00    3.8623288809e+00    2.0566276459e-01    1.2540563146e+00   -7.4302688945e-01
1.1003530239e-01    1.6076633428e+00    1.6221125676e+00    3.8615330489e+00    2.0569643155e-01    1.2539593357e+00   -7.4289109902e-01
1.1006215195e-01    1.6077938621e+00    1.6219820482e+00    3.8607374773e+00    2.0573009850e-01    1.2538623829e+00   -7.4275534840e-01
1.1008900359e-01    1.6079243702e+00    1.6218515402e+00    3.8599421661e+00    2.0576376546e-01    1.2537654561e+00   -7.4261963756e-01
1.1011585730e-01    1.6080548670e+00    1.6217210434e+00    3.8591471150e+00    2.0579743241e-01    1.2536685555e+00   -7.4248396649e-01
1.1014271309e-01    1.6081853525e+00    1.6215905578e+00    3.8583523241e+00    2.0583109937e-01    1.2535716809e+00   -7.4234833515e-01
1.1016957095e-01    1.6083158268e+00    1.6214600835e+00    3.8575577932e+00    2.0586476633e-01    1.2534748324e+00   -7.4221274354e-01
1.1019643089e-01    1.6084462899e+00    1.6213296205e+00    3.8567635220e+00    2.0589843328e-01    1.2533780099e+00   -7.4207719163e-01
1.1022329290e-01    1.6085767416e+00    1.6211991687e+00    3.8559695106e+00    2.0593210024e-01    1.2532812135e+00   -7.4194167939e-01
1.1025015699e-01    1.6087071822e+00    1.6210687282e+00    3.8551757587e+00    2.0596576719e-01    1.2531844430e+00   -7.4180620682e-01
1.1027702315e-01    1.6088376114e+00    1.6209382989e+00    3.8543822663e+00    2.0599943415e-01    1.2530876986e+00   -7.4167077389e-01
1.1030389139e-01    1.6089680295e+00    1.6208078809e+00    3.8535890332e+00    2.0603310110e-01    1.2529909802e+00   -7.4153538058e-01
1.1033076169e-01    1.6090984363e+00    1.6206774741e+00    3.8527960594e+00    2.0606676806e-01    1.2528942878e+00   -7.4140002687e-01
1.1035763408e-01    1.6092288318e+00    1.6205470786e+00    3.8520033445e+00    2.0610043501e-01    1.2527976214e+00   -7.4126471274e-01
1.1038450853e-01    1.6093592161e+00    1.6204166943e+00    3.8512108887e+00    2.0613410197e-01    1.2527009809e+00   -7.4112943817e-01
1.1041138506e-01    1.6094895892e+00    1.6202863212e+00    3.8504186916e+00    2.0616776893e-01    1.2526043664e+00   -7.4099420314e-01
1.1043826366e-01    1.6096199510e+00    1.6201559594e+00    3.8496267532e+00    2.0620143588e-01    1.2525077779e+00   -7.4085900762e-01
1.1046514434e-01    1.6097503016e+00    1.6200256088e+00    3.8488350734e+00    2.0623510284e-01    1.2524112153e+00   -7.4072385161e-01
1.1049202708e-01    1.6098806410e+00    1.6198952694e+00    3.8480436520e+00    2.0626876979e-01    1.2523146786e+00   -7.4058873508e-01
1.1051891190e-01    1.6100109691e+00    1.6197649413e+00    3.8472524889e+00    2.0630243675e-01    1.2522181678e+00   -7.4045365800e-01
1.1054579879e-01    1.6101412860e+00    1.6196346243e+00    3.8464615840e+00    2.0633610370e-01    1.2521216830e+00   -7.4031862037e-01
1.1057268776e-01    1.6102715917e+00    1.6195043187e+00    3.8456709372e+00    2.0636977066e-01    1.2520252241e+00   -7.4018362215e-01
1.1059957879e-01    1.6104018862e+00    1.6193740242e+00    3.8448805483e+00    2.0640343761e-01    1.2519287910e+00   -7.4004866333e-01
1.1062647189e-01    1.6105321694e+00    1.6192437409e+00    3.8440904172e+00    2.0643710457e-01    1.2518323839e+00   -7.3991374390e-01
